rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/episodes,time/total_timesteps,train/ent_coef_loss,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef
183.84225136986302,7,126.21917808219177,1186,73,9214,0.2850908041000366,0.03,11.453391170501709,182260,-160.78277587890625,0.1129726842045784
186.18342577027028,7,127.29729729729729,1213,74,9420,2.5146989822387695,0.03,9.979541301727295,186380,-161.02462768554688,0.10302481055259705
188.24546733333335,7,127.89333333333333,1235,75,9592,1.1692038774490356,0.03,9.823315167427063,189820,-155.71484375,0.10520272701978683
190.36346865789474,7,128.69736842105263,1260,76,9781,-1.40810227394104,0.03,13.010567712783814,193600,-152.6302490234375,0.12329890578985214
206.56143835064935,7,134.5974025974026,1336,77,10364,-0.5577710866928101,0.03,12.760248470306397,205260,-163.07546997070312,0.1257675290107727
212.22061746153844,7,136.1153846153846,1370,78,10617,-0.28385084867477417,0.03,13.565143966674805,210320,-166.9900360107422,0.105990931391716
214.99654017721517,7,136.79746835443038,1395,79,10807,3.639554262161255,0.03,12.400695753097533,214120,-172.32821655273438,0.08990750461816788
216.92073125000002,7,137.7375,1423,80,11019,1.8432694673538208,0.03,15.678719186782837,218360,-172.65777587890625,0.10950516164302826
221.40411540740743,7,139.23456790123456,1456,81,11278,-1.2471773624420166,0.03,17.30890703201294,223540,-169.16653442382812,0.12582457065582275
221.267968695122,7,139.3780487804878,1476,82,11429,1.2552237510681152,0.03,13.530130243301391,226560,-173.59884643554688,0.09597209841012955
223.67744633734944,7,140.03614457831324,1501,83,11623,0.08947348594665527,0.03,12.893406438827515,230440,-169.85678100585938,0.12454544752836227
229.96004205952383,7,142.22619047619048,1544,84,11947,-0.6841292977333069,0.03,18.09438500404358,236920,-172.28515625,0.12350718677043915
236.42969430588238,7,144.36470588235295,1586,85,12271,-1.3415393829345703,0.03,17.439925479888917,243400,-163.4950408935547,0.11934034526348114
238.64525696511632,7,145.1860465116279,1614,86,12486,0.430195689201355,0.03,16.677823114395142,247700,-164.52413940429688,0.12134742736816406
241.99490201149428,7,146.71264367816093,1650,87,12764,0.7894105911254883,0.03,18.794167041778564,253260,-168.23876953125,0.11577761173248291
248.2851671022727,7,149.0909090909091,1696,88,13120,-0.26300081610679626,0.03,14.192447948455811,260380,-175.04566955566406,0.11733727157115936
253.31716841573032,7,151.25842696629215,1742,89,13462,-0.03422750532627106,0.03,14.909425592422485,267220,-174.74122619628906,0.11923553794622421
252.12819799999997,7,150.92222222222222,1757,90,13583,-0.7830073237419128,0.03,15.480189037322997,269640,-174.536376953125,0.10586562007665634
260.0859452637363,7,153.54945054945054,1808,91,13973,-0.20516926050186157,0.03,26.500730514526367,277440,-180.86013793945312,0.12049499899148941
261.2973666195652,7,153.54347826086956,1828,92,14126,-0.054642632603645325,0.03,18.51754050254822,280500,-178.2471923828125,0.15118740499019623
273.10960249462363,7,158.1290322580645,1903,93,14706,2.4071755409240723,0.03,17.688647651672362,292100,-189.11557006835938,0.11419332027435303
279.5551517765958,7,160.4468085106383,1952,94,15082,0.7706521153450012,0.03,27.577728366851808,299620,-196.92384338378906,0.10285002738237381
