time/total_timesteps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/ent_coef_loss,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef
7434,83,89.56626506024097,65.59659149397591,1535,4,-0.6352204903960228,0.003,146660,-115024.326171875,11184687.1,397.3605453491211
7458,84,88.78571428571429,64.77789257142857,1538,4,-0.9262894049286843,0.003,147140,-114874.8734375,11730259.4,379.18936920166016
7484,85,88.04705882352941,64.06795732941175,1541,4,0.44237431734800337,0.003,147660,-116347.98203125,11490708.5,393.8143966674805
7628,86,88.69767441860465,66.19729773255814,1569,4,-0.9446822546422482,0.003,150540,-120150.81484375,12312657.15,390.0046813964844
7751,87,89.0919540229885,65.90761901149425,1589,4,-0.7145649492740631,0.003,153000,-124498.369921875,12336409.65,401.07543487548827
7815,88,88.80681818181819,65.2745760340909,1604,4,0.5208391696214676,0.003,154280,-126124.766796875,13632752.2,413.41813507080076
7941,89,89.2247191011236,64.46041351685393,1633,4,-0.32874939516186713,0.003,156800,-130496.61328125,13841549.7,428.5078628540039
8065,90,89.61111111111111,63.6188545111111,1655,4,-0.5467856638133526,0.003,159280,-131310.31328125,14363082.5,447.384049987793
8222,91,90.35164835164835,65.76685605494504,1683,4,0.4148184582591057,0.003,162420,-137779.337890625,18501677.25,481.00428161621096
8393,92,91.22826086956522,67.39785624999999,1718,4,-0.41357190534472466,0.003,165840,-145304.54140625,19527488.5,502.3097854614258
8621,93,92.6989247311828,69.23433482795697,1765,4,0.7623325914144516,0.003,170400,-155717.7984375,26359830.6,531.37119140625
8736,94,92.93617021276596,70.78695760638297,1792,4,-0.19881662875413894,0.003,172700,-163894.7890625,33830851.7,564.7261444091797
8915,95,93.84210526315789,72.7622426,1833,4,0.27313391864299774,0.003,176280,-180219.896875,34926632.8,609.4782958984375
9057,96,94.34375,74.61862919791666,1865,4,0.5445098772644996,0.003,179120,-188312.17578125,35078311.8,623.9641235351562
9169,97,94.52577319587628,74.2386385257732,1891,4,0.1003470003604889,0.003,181360,-189127.68359375,37491341.4,612.3727264404297
9245,98,94.33673469387755,73.34256801020408,1905,4,-0.8398082911968231,0.003,182880,-192492.77109375,35100475.2,591.6788177490234
9391,99,94.85858585858585,72.4494084040404,1929,4,-0.40865217745304105,0.003,185800,-194398.740625,37537157.2,595.019808959961
9754,100,97.54,77.09814779,2011,4,0.4911601021885872,0.003,193060,-219385.0515625,48474182.6,734.0905700683594
10126,101,101.1,79.60641068,2087,4,-0.3611004799604416,0.003,200500,-230834.0328125,49922515.2,707.6936981201172
10232,102,102.02,81.33093387,2103,4,-0.7039935983717441,0.003,202620,-230499.29921875,51435718.4,714.745004272461
10424,103,103.72,83.76347221,2138,4,-1.3233701199293137,0.003,206460,-233384.0734375,54175129.0,714.7675903320312
10525,104,104.62,84.22077574999999,2161,4,0.05600714534521103,0.003,208480,-234615.22265625,57193517.4,744.7796936035156
10706,105,106.12,86.89839104999999,2199,4,0.03288665264844894,0.003,212100,-238842.8859375,55851897.6,726.8149658203125
10797,106,106.64,86.76214915999998,2215,4,-1.1778266295790671,0.003,213920,-241842.4046875,53033406.6,710.3128295898438
