time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,train/actor_loss,train/n_updates,train/ent_coef_loss,train/learning_rate,train/critic_loss,train/ent_coef
11397,75,472.88531882666655,2,32729,436.38666666666666,-93.53523254394531,652560,-0.5798207521438599,0.003,1.8979578346014023,0.027916697785258293
11431,76,469.61236256578934,2,32826,431.92105263157896,-92.40202331542969,654500,-0.05401486158370972,0.003,2.11498641371727,0.02838815562427044
11465,77,466.4424547792206,2,32924,427.5844155844156,-91.96591186523438,656460,0.8602108955383301,0.003,2.366605070233345,0.0290262121707201
11498,78,463.28819292307674,2,33019,423.3205128205128,-90.98755645751953,658360,1.2614052295684814,0.003,3.7117776811122893,0.03419952094554901
11534,79,460.6013162658226,2,33123,419.27848101265823,-92.15861511230469,660440,-0.25131353735923767,0.003,1.8417672157287597,0.029322627931833267
11568,80,457.58074938749996,2,33219,415.2375,-90.46879577636719,662360,-0.09033225476741791,0.003,2.215490218997002,0.02567513845860958
11601,81,454.6318845308641,2,33315,411.2962962962963,-91.25896453857422,664280,0.0491919219493866,0.003,1.9315565288066865,0.02373151108622551
11635,82,451.9401758658536,2,33415,407.5,-90.74888610839844,666280,0.3975749611854553,0.003,2.3321450471878054,0.027228979393839836
11666,83,448.81552965060234,2,33503,403.65060240963857,-89.23440551757812,668040,-0.5053603649139404,0.003,1.84225937128067,0.02987702004611492
11703,84,446.54673363095225,2,33609,400.10714285714283,-88.9745101928711,670160,0.2791939377784729,0.003,2.3844628155231478,0.028776558116078377
12055,85,453.3138194823528,2,34609,407.16470588235296,-90.03105163574219,690160,-1.1785334348678589,0.003,1.5670609593391418,0.02525489032268524
12401,86,459.900113616279,2,35609,414.0581395348837,-89.4200439453125,710160,0.3965475857257843,0.003,1.2110860258340836,0.02350500598549843
12756,87,466.33914236781595,2,36609,420.7931034482759,-89.26332092285156,730160,0.13076025247573853,0.003,0.9154419988393784,0.02930206060409546
12791,88,463.6815224659091,2,36707,417.125,-90.74857330322266,732120,-0.9941569566726685,0.003,1.2652198433876038,0.02991681545972824
12827,89,461.00887228089886,2,36804,413.5280898876405,-88.96916198730469,734060,0.9320191144943237,0.003,1.4234557628631592,0.030227405950427055
12861,90,458.44518201111106,2,36902,410.02222222222224,-89.70122528076172,736020,0.3192887306213379,0.003,1.523042592406273,0.025845732539892197
12895,91,455.85424458241755,2,36998,406.57142857142856,-89.26898193359375,737940,-0.9494654536247253,0.003,3.098700523376465,0.02789275348186493
12928,92,453.36891931521734,2,37095,403.20652173913044,-87.32521057128906,739880,1.515177845954895,0.003,1.5719806149601936,0.027611760422587395
12960,93,450.7656874193548,2,37188,399.8709677419355,-88.52664184570312,741740,0.76292884349823,0.003,1.3302793204784393,0.026562081649899483
12993,94,448.24565904255314,2,37282,396.6170212765957,-88.79878234863281,743620,-0.20779311656951904,0.003,1.1602900922298431,0.024561330676078796
13026,95,445.9617585157894,2,37380,393.4736842105263,-90.43301391601562,745580,-0.595579981803894,0.003,1.4109433233737945,0.024239694699645042
13057,96,443.3994033541667,2,37470,390.3125,-90.94955444335938,747380,0.5060889720916748,0.003,1.356634458899498,0.025278810411691666
13088,97,440.8981035876289,2,37560,387.21649484536084,-91.16548156738281,749180,0.8867447972297668,0.003,1.5507956355810166,0.02910732664167881
13124,98,438.8601748979592,2,37661,384.2959183673469,-90.49773406982422,751200,0.12125861644744873,0.003,1.2986127972602843,0.030220596119761467
13159,99,436.79777946464645,2,37760,381.4141414141414,-89.3813705444336,753180,-0.6002040505409241,0.003,1.1581041991710663,0.02778995782136917
13190,100,434.47984826,2,37851,378.51,-89.95790100097656,755000,-0.397832453250885,0.003,1.7120390474796294,0.02469775080680847
13225,101,436.57416734,2,37950,379.15,-89.81758880615234,756980,0.3374202847480774,0.003,1.245637482404709,0.0257535632699728
13259,102,438.79985894,2,38048,380.02,-88.02645874023438,758940,0.35156065225601196,0.003,1.2399268686771392,0.02973734587430954
13295,103,441.01779984,2,38148,380.73,-89.41937255859375,760940,-0.22427424788475037,0.003,1.4555432826280594,0.02980929985642433
13331,104,443.3081056600001,2,38250,381.56,-89.78759002685547,762980,-0.5162741541862488,0.003,1.5607761532068252,0.026252849027514458
13367,105,445.59937603000003,2,38350,382.41,-89.73068237304688,764980,-0.6627295017242432,0.003,1.2482574701309204,0.027337070554494858
13402,106,447.38430816000005,2,38450,382.9,-89.97098541259766,766980,0.33357465267181396,0.003,1.1121710568666459,0.02756594493985176
13436,107,448.6547096500001,2,38547,383.31,-91.66846466064453,768920,-0.25926923751831055,0.003,1.3306024998426438,0.026541590690612793
13470,108,450.03510827000014,2,38645,383.59,-89.90760803222656,770880,0.4677684009075165,0.003,1.3661423027515411,0.028096990659832954
13503,109,451.08793837000013,2,38738,383.93,-90.28007507324219,772740,0.535405695438385,0.003,1.0481547236442565,0.02689356356859207
13536,110,451.4266494500001,2,38834,384.03,-90.6966552734375,774660,-0.14988122880458832,0.003,0.9106977850198745,0.02454819157719612
13570,111,451.89812984,2,38930,384.17,-89.8174819946289,776580,0.13164874911308289,0.003,1.0631550341844558,0.024952873587608337
13605,112,452.25140450000004,2,39028,384.19,-91.19987487792969,778540,1.4524893760681152,0.003,0.9976703345775604,0.02543625980615616
13641,113,453.68926538,2,39128,384.67,-91.45040893554688,780540,-0.4024568200111389,0.003,1.1833567693829536,0.024495702236890793
13675,114,455.5408968000001,2,39226,385.38,-91.06420135498047,782500,1.144454836845398,0.003,1.7353514045476914,0.026660943403840065
13711,115,456.19022028000006,2,39326,385.5,-91.84463500976562,784500,0.1826755702495575,0.003,1.241048228740692,0.032783977687358856
13745,116,457.0428692500001,2,39425,385.7,-91.4604721069336,786480,0.15052300691604614,0.003,1.2877289980649949,0.03307587653398514
13781,117,458.13514991000005,2,39526,385.98,-89.29695129394531,788500,-0.030070602893829346,0.003,1.21149799823761,0.03197304904460907
13816,118,460.00030537000004,2,39627,386.63,-93.29771423339844,790520,1.2048463821411133,0.003,1.3447691023349762,0.030285809189081192
13851,119,461.07226188,2,39727,386.86,-90.71244812011719,792520,-0.5304740071296692,0.003,1.1133795619010924,0.028932226821780205
13886,120,461.99663498,2,39826,386.98,-91.03742980957031,794500,-0.3716719150543213,0.003,1.0611573696136474,0.02879810892045498
13904,121,460.8052703700001,2,39879,386.48,-91.24411010742188,795560,-0.44987016916275024,0.003,1.066848209500313,0.027466995641589165
13940,122,462.86227493000007,2,39981,387.27,-90.35440063476562,797600,1.0060768127441406,0.003,1.6642242640256881,0.02620701678097248
13974,123,464.7904885600001,2,40079,388.03,-90.38805389404297,799560,-1.6619312763214111,0.003,1.2698989450931548,0.028044769540429115
14009,124,465.3490067,2,40177,388.15,-90.15727233886719,801520,-0.6826223134994507,0.003,1.2929343670606612,0.02871084399521351
14043,125,466.43177789000003,2,40274,387.77,-92.44825744628906,803460,0.10127873718738556,0.003,1.8987892717123032,0.03058462403714657
14078,126,468.74428721,2,40374,388.4,-91.02657318115234,805460,0.6122673749923706,0.003,9.768153244256974,0.030164485797286034
14111,127,470.63728209999994,2,40471,388.7,-90.48753356933594,807400,-0.5046710968017578,0.003,1.168009877204895,0.030494624748826027
14146,128,472.78223179,2,40569,389.21,-89.60784912109375,809360,0.5207145810127258,0.003,3.64522043466568,0.0318930521607399
14181,129,472.57292119,2,40666,388.43,-89.91040802001953,811300,-0.08461697399616241,0.003,7.388106769323349,0.03273981064558029
14215,130,473.01046854,2,40762,387.84,-90.72491455078125,813220,-0.6281040906906128,0.003,7.545525163412094,0.03728776052594185
14250,131,473.00243438000007,2,40860,386.87,-89.66656494140625,815180,0.11905635893344879,0.003,1.1008114695549012,0.03635726869106293
14283,132,470.71516130000003,2,40957,384.6,-89.74089813232422,817120,-0.2529565095901489,0.003,1.2946353137493134,0.032249100506305695
14318,133,471.18065658000006,2,41058,384.75,-89.51409912109375,819140,-0.4096927046775818,0.003,1.2002860128879547,0.03021763451397419
14352,134,471.67178268000004,2,41156,384.89,-89.74742126464844,821100,-0.5877254009246826,0.003,1.970583114027977,0.02714758925139904
14386,135,473.17509631,2,41255,385.32,-90.483642578125,823080,2.2650222778320312,0.003,2.0149689644575117,0.027551423758268356
14407,136,472.8275795900001,2,41316,385.22,-90.25733947753906,824300,-0.39331185817718506,0.003,2.066606491804123,0.029258407652378082
14441,137,470.82955394000004,2,41415,382.15,-90.83665466308594,826280,0.046004846692085266,0.003,2.763103747367859,0.03128539398312569
14474,138,467.1310709300001,2,41511,378.37,-90.67950439453125,828200,0.1317042112350464,0.003,8.904830741882325,0.03686615079641342
14508,139,467.3610343200001,2,41611,378.19,-89.74092102050781,830200,-0.34938502311706543,0.003,2.3502299010753633,0.0342521145939827
14544,140,467.9563448300001,2,41712,378.32,-88.13306427001953,832220,-0.8659703135490417,0.003,8.351297205686569,0.03546731546521187
14579,141,468.38735985000005,2,41811,378.43,-91.22994995117188,834200,-0.8493625521659851,0.003,1.7363856494426728,0.033989664167165756
14598,142,467.4462387200001,2,41865,378.12,-91.40211486816406,835280,-1.2145044803619385,0.003,1.4240088880062103,0.033111169934272766
14632,143,467.2881538000001,2,41965,376.88,-90.20426177978516,837280,-0.3030942678451538,0.003,1.9113362431526184,0.029610369354486465
14666,144,464.92751824,2,42064,373.48,-92.3775634765625,839260,-0.6439599990844727,0.003,2.775680649280548,0.03160198777914047
14701,145,463.50393805999994,2,42163,370.74,-88.77359771728516,841240,-0.12486373633146286,0.003,1.9378148555755614,0.03295806795358658
14736,146,455.88994594999997,2,42264,361.75,-90.03450012207031,843260,0.38985878229141235,0.003,1.5782557040452958,0.03284972161054611
14773,147,448.23054673,2,42365,352.76,-89.58448791503906,845280,-0.33514100313186646,0.003,1.5873218655586243,0.030384894460439682
15121,148,448.35450749999995,2,43365,352.76,-90.08123779296875,865280,-0.5782634615898132,0.003,2.5197349965572355,0.029350828379392624
15471,149,448.7163342200001,2,44365,353.13,-89.48701477050781,885280,-0.5339147448539734,0.003,1.542318207025528,0.027461403980851173
15505,150,445.65502440000006,2,44462,349.27,-91.19908142089844,887220,-0.6291427612304688,0.003,1.3085671335458755,0.02771097980439663
15538,151,437.76764913,2,44558,340.23,-91.1473388671875,889140,-0.3263700008392334,0.003,2.919229769706726,0.03127676621079445
15571,152,429.87415226999997,2,44653,331.18,-89.86754608154297,891040,-0.5420142412185669,0.003,1.299031925201416,0.0329911895096302
15605,153,422.09391173000006,2,44751,322.16,-91.00315856933594,893000,-0.5779005289077759,0.003,1.8795671612024307,0.032107096165418625
15641,154,414.4481448199999,2,44853,313.18,-89.01783752441406,895040,0.5256232023239136,0.003,1.4130447506904602,0.03049365058541298
15674,155,406.59781129999993,2,44950,304.15,-90.45303344726562,896980,-0.5497432351112366,0.003,1.2820636659860611,0.032725974917411804
15708,156,398.82374114000004,2,45049,295.14,-90.8709716796875,898960,-0.29172104597091675,0.003,1.4891833305358886,0.032734498381614685
15742,157,391.02473168999995,2,45148,286.13,-88.75755310058594,900940,0.1918296068906784,0.003,2.202367913722992,0.03542020171880722
15776,158,383.19062742999995,2,45245,277.1,-88.8801040649414,902880,0.012612715363502502,0.003,8.41635875403881,0.03339887410402298
15809,159,375.34290222,2,45342,268.07,-88.98109436035156,904820,0.264120489358902,0.003,1.2444954991340638,0.03461264818906784
15845,160,367.73626536000006,2,45444,259.09,-88.70064544677734,906860,0.20293718576431274,0.003,1.303268414735794,0.03435428813099861
15878,161,359.85930321,2,45540,250.05,-90.56427001953125,908780,-0.6805650591850281,0.003,1.6664412438869476,0.035660162568092346
15913,162,352.00934503,2,45637,241.02,-90.05086517333984,910720,0.04933089017868042,0.003,6.874380666017532,0.03543809428811073
15946,163,344.15338740000004,2,45735,232.0,-89.1670913696289,912680,-0.15200579166412354,0.003,6.7487507402896885,0.034512314945459366
15980,164,336.26047587,2,45832,222.97,-89.82743835449219,914620,-0.502444863319397,0.003,1.768021321296692,0.03372940793633461
16016,165,328.40103440000007,2,45932,213.97,-87.31559753417969,916620,0.7945042252540588,0.003,1.4524251699447632,0.037800196558237076
16051,166,320.47227576000006,2,46030,204.95,-87.88070678710938,918580,-0.040850117802619934,0.003,1.2185585409402848,0.03590524569153786
16085,167,312.5344309800001,2,46127,195.92,-88.75198364257812,920520,-0.6430088877677917,0.003,1.2437624335289001,0.03698897734284401
16120,168,304.67438086000004,2,46226,186.91,-89.91692352294922,922500,-0.7628536224365234,0.003,1.5518942832946778,0.03363586589694023
16154,169,296.77132977,2,46324,177.89,-88.53463745117188,924460,-0.047448813915252686,0.003,6.452975344657898,0.036706481128931046
16189,170,297.75928045999996,2,46423,177.93,-88.83905029296875,926440,0.157601997256279,0.003,1.4915801763534546,0.039050303399562836
16224,171,289.92436007,2,46522,168.92,-88.53901672363281,928420,-0.5797601342201233,0.003,1.4232836991548539,0.04120030626654625
16259,172,282.02727490999996,2,46621,159.91,-86.32646179199219,930400,-0.11315879225730896,0.003,1.3410330027341844,0.03576495870947838
16294,173,274.22187876,2,46722,150.92,-89.79966735839844,932420,-0.016636177897453308,0.003,1.3167485296726227,0.03524012118577957
16328,174,266.21728335,2,46817,141.87,-89.95843505859375,934320,0.029648326337337494,0.003,1.484881842136383,0.038383182138204575
16361,175,266.17506432000005,2,46914,141.85,-87.80361938476562,936260,-1.6327401399612427,0.003,1.4922534763813018,0.04124840721487999
16395,176,266.29706241,2,47013,141.87,-87.83019256591797,938240,0.36996084451675415,0.003,1.3261104375123978,0.038562048226594925
16430,177,266.39433621000006,2,47112,141.88,-91.4469985961914,940220,0.4251002073287964,0.003,1.1033238023519516,0.036946553736925125
16449,178,265.17703688999995,2,47168,141.49,-89.77131652832031,941340,0.3872978389263153,0.003,2.3898087620735167,0.03847848251461983
16484,179,265.06315992000003,2,47268,141.45,-90.8200912475586,943340,-0.42711126804351807,0.003,1.533486321568489,0.03854779899120331
16518,180,265.13818282,2,47365,141.46,-86.65489196777344,945280,-0.07222519814968109,0.003,2.3581127285957337,0.03943590819835663
16553,181,265.39366742000004,2,47466,141.51,-89.35627746582031,947300,0.30193275213241577,0.003,1.4112280547618865,0.03794657066464424
16588,182,265.45258209,2,47565,141.5,-88.18678283691406,949280,-0.1918375939130783,0.003,1.3397867321968078,0.03725660219788551
16623,183,266.00040658,2,47667,141.64,-89.43109893798828,951320,-0.008459597826004028,0.003,1.478572130203247,0.0344085618853569
16659,184,265.9887888,2,47771,141.62,-88.95602416992188,953400,-0.02639874815940857,0.003,1.4778194308280945,0.03207125887274742
16694,185,258.14992630999996,2,47870,132.61,-88.59918212890625,955380,0.45877912640571594,0.003,1.2295087605714798,0.03125018626451492
16731,186,250.45101380999998,2,47972,123.63,-88.50621795654297,957420,0.8551998138427734,0.003,1.4849230170249939,0.03279595822095871
16768,187,242.78815737999997,2,48075,114.66,-88.2181167602539,959480,-0.6700315475463867,0.003,2.8829052329063414,0.033351391553878784
