time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/episodes,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate
61277,20514,523.2,1591.4129309200005,2,190,1223520,-287.4267578125,2.328434079885483,0.08429165929555893,1.276763677597046,0.003
62277,20808,530.57,1618.1727809800002,2,191,1243520,-284.44049072265625,3.274888354539871,0.08227246254682541,-0.428926944732666,0.003
62747,20948,532.88,1628.2881185700003,2,192,1252920,-280.81951904296875,2.217985969781876,0.08323398977518082,0.5723117589950562,0.003
63747,21243,540.36,1654.6302311100005,3,193,1272920,-280.697021484375,2.4824822664260866,0.08690136671066284,0.6333673000335693,0.003
64393,21435,544.76,1672.70909363,3,194,1285840,-281.2847900390625,4.001574409008026,0.08320916444063187,0.22720159590244293,0.003
65109,21647,547.33,1684.1999945899997,3,195,1300160,-278.3988952636719,2.611646443605423,0.0761917382478714,0.25453370809555054,0.003
66109,21937,555.52,1711.6289769199998,3,196,1320160,-281.8361511230469,2.2203813672065733,0.0749649628996849,-0.19605766236782074,0.003
67109,22229,562.56,1735.15051453,3,197,1340160,-277.7125549316406,2.0863265454769135,0.0890289917588234,-0.8433805108070374,0.003
67406,22316,564.5,1741.25543775,3,198,1346100,-278.10137939453125,3.0415771543979644,0.08185503631830215,-0.521513044834137,0.003
68406,22607,573.16,1771.43772844,3,199,1366100,-280.8414306640625,2.079228734970093,0.08965592086315155,0.09523947536945343,0.003
68631,22673,573.35,1771.2177731099998,3,200,1370600,-279.6377868652344,1.8272741198539735,0.08251337707042694,0.2696763575077057,0.003
69532,22935,581.34,1799.2502779899996,3,201,1388620,-271.30023193359375,4.366991847753525,0.09494804590940475,-0.9422957897186279,0.003
70394,23186,588.33,1823.0983037899998,3,202,1405860,-273.6383056640625,2.0555417418479918,0.08228066563606262,-0.331246554851532,0.003
71277,23442,595.72,1848.8548123599996,3,203,1423520,-277.65374755859375,3.1970195412635802,0.08757060766220093,-0.21077170968055725,0.003
72277,23734,604.35,1877.2504805700003,3,204,1443520,-281.869384765625,9.044040691852569,0.09153536707162857,-0.25840047001838684,0.003
72977,23936,609.81,1896.3755746200002,3,205,1457520,-277.157470703125,4.15496836900711,0.09662968665361404,0.18576794862747192,0.003
