time/total_timesteps,time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/actor_loss
8905,88,4,1822,101.19318181818181,139.54804639772726,176080,0.003,9705.0556640625,18.043881607055663,-0.11696237251162529,-3623.9015625
9044,89,4,1850,101.61797752808988,141.1186087303371,178860,0.003,12499.58251953125,19.509196853637697,-0.02923521064221859,-3502.4770385742186
9134,90,4,1869,101.4888888888889,140.70900352222222,180660,0.003,12781.707421875,19.26539077758789,-0.19533390700817108,-3546.9699462890626
9320,91,4,1907,102.41758241758242,141.35347109890108,184380,0.003,10274.946142578125,18.255434799194337,0.03400043733417988,-3523.9167236328126
9827,92,4,2010,106.81521739130434,146.36620941304346,194520,0.003,7574.632006835937,19.237819576263426,-0.1024786114692688,-3388.8953369140627
9910,93,4,2027,106.55913978494624,146.31263702150534,196180,0.003,7531.194311523437,18.516742706298828,-0.40063516013324263,-3397.738232421875
10044,94,4,2055,106.85106382978724,147.21914426595742,198860,0.003,7683.97626953125,16.4252947807312,-0.1816927470266819,-3295.17998046875
10179,95,4,2083,107.14736842105263,148.114685968421,201560,0.003,6513.125805664063,14.127518558502198,0.2965734787285328,-3086.55859375
10320,96,4,2112,107.5,149.36757998958333,204380,0.003,9587.116015625,14.42764163017273,-0.23623415865004063,-2919.4940673828123
10365,97,4,2121,106.85567010309278,148.13504362886596,205280,0.003,9989.181005859375,14.950813388824463,0.2315824382007122,-2922.849084472656
10490,98,4,2147,107.04081632653062,147.70870613265305,207780,0.003,8451.289184570312,16.79146099090576,-0.24475153349339962,-3020.959582519531
10574,99,4,2164,106.8080808080808,146.83180640404038,209460,0.003,8242.993408203125,16.02776312828064,-0.2680912781506777,-3078.58642578125
10789,100,4,2208,107.89,148.04336060999998,213760,0.003,9769.780590820312,19.930108642578126,-0.19066683389246464,-3296.7237060546877
10865,101,4,2223,108.43,148.94969107999998,215280,0.003,12786.3650390625,18.148687839508057,-0.26831196919083594,-3348.71201171875
