time/total_timesteps,time/episodes,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/ent_coef,train/critic_loss,train/n_updates,train/ent_coef_loss,train/learning_rate,train/actor_loss
13560,85,159.52941176470588,5143,270.2473052823529,2,0.06297894567251205,3.8004539966583253,269180,-0.16983354091644287,0.003,-132.1176300048828
13716,86,159.48837209302326,5202,271.8337155232558,2,0.08378741890192032,7.426992237567902,272300,0.27681082487106323,0.003,-128.64134216308594
13872,87,159.44827586206895,5261,273.4859696436782,2,0.08578529953956604,5.067822003364563,275420,0.08597400784492493,0.003,-127.89871978759766
14031,88,159.4431818181818,5323,275.1718649772727,2,0.09039290249347687,6.01353679895401,278600,-0.4303199052810669,0.003,-130.386474609375
14191,89,159.4494382022472,5383,276.77551785393257,2,0.08475472778081894,4.735097968578339,281800,-0.11350944638252258,0.003,-126.61906433105469
14364,90,159.6,5448,278.5433672666667,2,0.0795135423541069,5.739965856075287,285260,0.051224857568740845,0.003,-124.70252990722656
14532,91,159.69230769230768,5511,280.1474486043956,2,0.07991369813680649,5.988807344436646,288620,0.15159374475479126,0.003,-125.0362319946289
14600,92,158.69565217391303,5536,278.3013207065218,2,0.07978344708681107,5.517328774929046,289980,-0.2436467856168747,0.003,-127.41629028320312
14775,93,158.8709677419355,5602,279.94027869892477,2,0.09664443135261536,5.373792767524719,293480,-0.27491024136543274,0.003,-131.11004638671875
14954,94,159.08510638297872,5670,281.6712780957447,2,0.10269893705844879,6.889426732063294,297060,-0.5925763845443726,0.003,-124.68892669677734
15108,95,159.03157894736842,5731,283.01981574736845,2,0.10412753373384476,5.890794086456299,300140,0.16840048134326935,0.003,-126.67190551757812
15265,96,159.01041666666666,5792,284.47951346875,2,0.09704890102148056,6.08223021030426,303280,0.014544814825057983,0.003,-129.88604736328125
15425,97,159.02061855670104,5853,285.94455640206183,2,0.08697652816772461,7.487702059745788,306480,0.036200135946273804,0.003,-121.49813842773438
15583,98,159.01020408163265,5912,287.2731089591837,2,0.08994470536708832,5.58235731124878,309640,-0.007935412228107452,0.003,-130.8037872314453
15741,99,159.0,5972,288.64913765656564,2,0.09209661930799484,5.85492513179779,312800,-0.26862406730651855,0.003,-126.21232604980469
15895,100,158.95,6030,289.91470925,2,0.09722232073545456,7.120154786109924,315880,0.139339879155159,0.003,-134.46702575683594
15998,101,159.78,6070,292.12031873,2,0.09576398134231567,6.425612139701843,317940,0.30682358145713806,0.003,-128.50401306152344
16110,102,160.76,6113,294.58140726,2,0.09798640757799149,12.954257440567016,320180,0.03105016052722931,0.003,-133.23130798339844
16265,103,162.01,6172,298.54579863000004,2,0.09404783695936203,10.674943900108337,323280,0.22107453644275665,0.003,-130.20872497558594
16419,104,163.45,6232,302.48215817000005,2,0.09391268342733383,6.551788806915283,326360,-0.6019076108932495,0.003,-131.7225341796875
16573,105,164.75,6292,306.28507482000003,2,0.10128935426473618,5.372688221931457,329440,-0.2940593361854553,0.003,-129.80145263671875
16678,106,165.65,6331,308.51539311000005,2,0.10863164067268372,6.213238930702209,331540,-0.10448749363422394,0.003,-133.19081115722656
16833,107,167.08,6389,312.57002759000005,2,0.09836829453706741,8.254295134544373,334640,-0.5878458619117737,0.003,-133.89923095703125
16989,108,167.73,6448,314.60631172999996,2,0.09646236151456833,8.437601566314697,337760,0.09342275559902191,0.003,-127.40243530273438
17140,109,168.81,6506,317.75460137000005,2,0.09212060272693634,8.09679901599884,340780,-0.17905089259147644,0.003,-125.02149200439453
17295,110,169.81,6565,320.88443526000003,2,0.08403455466032028,8.501381111145019,343880,-0.28124088048934937,0.003,-119.29112243652344
17448,111,170.69,6623,323.7380947100001,2,0.09355948865413666,5.97998526096344,346940,-0.24212831258773804,0.003,-123.45863342285156
17600,112,171.7,6681,326.98765104,2,0.09755916893482208,10.320844864845276,349980,-0.043926335871219635,0.003,-122.58252716064453
17756,113,172.81,6740,330.43705443,2,0.08901384472846985,5.774545204639435,353100,-0.020975474268198013,0.003,-126.61361694335938
17909,114,174.09,6798,334.10724179,2,0.08560249954462051,7.115929508209229,356160,0.7207183241844177,0.003,-120.6021499633789
18062,115,175.24,6856,337.60257764,2,0.08845500648021698,6.294942092895508,359220,0.05662696063518524,0.003,-123.04727935791016
18214,116,176.42,6913,341.05320493,2,0.08473861962556839,5.946964359283447,362260,-0.9737231731414795,0.003,-124.76988983154297
18367,117,177.38,6972,344.18692632000005,2,0.09180706739425659,7.728276300430298,365320,0.008571267127990723,0.003,-128.11061096191406
18521,118,178.59,7031,347.87529679000005,2,0.08836913108825684,5.773291444778442,368400,0.3441258668899536,0.003,-126.58568572998047
18674,119,179.76,7089,351.52577400000007,2,0.09779758751392365,6.536052584648132,371460,0.22937193512916565,0.003,-131.4749755859375
18825,120,180.61,7146,354.38927873000006,2,0.09112254530191422,6.360839700698852,374480,-0.3270111680030823,0.003,-120.33384704589844
18977,121,181.32,7203,356.79704010000006,2,0.08834713697433472,5.418610835075379,377520,-0.4524294137954712,0.003,-130.47528076171875
19131,122,181.62,7261,358.66726735000003,2,0.09639489650726318,5.948162186145782,380600,-0.5380181074142456,0.003,-127.77008056640625
19283,123,181.94,7318,360.63975578000003,2,0.09566245973110199,5.246574437618255,383640,-0.21496006846427917,0.003,-128.86032104492188
19435,124,182.73,7376,363.26928567000004,2,0.09806051850318909,5.234024071693421,386680,0.4390411078929901,0.003,-130.89439392089844
19589,125,183.36,7435,365.46935836000006,2,0.08986329287290573,8.668684148788453,389760,-0.017188653349876404,0.003,-133.3294219970703
19742,126,184.1,7493,367.9631950600001,2,0.09093019366264343,5.7111602306365965,392820,-0.3758994936943054,0.003,-132.77999877929688
19892,127,184.81,7550,370.99686517000004,2,0.09613824635744095,6.729376101493836,395820,0.662123441696167,0.003,-129.95523071289062
20042,128,183.32,7607,371.16133689000003,2,0.09308754652738571,4.519743871688843,398820,0.3573451042175293,0.003,-135.24420166015625
20194,129,183.69,7665,373.15610778,2,0.09456408023834229,6.209080994129181,401860,0.16108131408691406,0.003,-135.3961181640625
20344,130,183.76,7721,374.60543074000003,2,0.09460730850696564,4.582938718795776,404860,0.537536084651947,0.003,-135.44638061523438
20495,131,184.16,7779,377.3335221500001,2,0.09312199801206589,6.275495862960815,407880,-0.4748018980026245,0.003,-132.90420532226562
20646,132,183.27,7836,377.89791410000004,2,0.09123463183641434,5.25451238155365,410900,-0.3878370523452759,0.003,-139.6533203125
20797,133,183.43,7894,379.45465961,2,0.0893588662147522,5.688040816783905,413920,-0.25993403792381287,0.003,-138.99783325195312
20951,134,183.72,7953,381.1755974900001,2,0.09831847250461578,5.027466464042663,417000,0.17177362740039825,0.003,-130.05718994140625
21101,135,183.89,8010,382.59017353,2,0.09741353243589401,4.470232653617859,420000,-0.01599743962287903,0.003,-134.83265686035156
21253,136,183.93,8067,383.93051738,2,0.09475602209568024,5.3056992292404175,423040,-0.33484339714050293,0.003,-132.13748168945312
21401,137,184.1,8122,385.28513389000005,2,0.09491391479969025,4.4742910146713255,426000,-0.2930883765220642,0.003,-136.661376953125
21549,138,184.19,8177,386.57075547,2,0.09057878702878952,5.278191864490509,428960,-0.1437162160873413,0.003,-136.8872833251953
21701,139,184.22,8236,388.05053776000005,2,0.09060828387737274,5.990839827060699,432000,-0.24021640419960022,0.003,-132.80332946777344
21851,140,175.72,8294,382.2344909,2,0.09510470926761627,4.780893886089325,435000,-0.26671770215034485,0.003,-135.83935546875
22001,141,167.22,8350,376.55667026000003,2,0.09611530601978302,5.023182451725006,438000,-0.40708526968955994,0.003,-135.77175903320312
22150,142,168.09,8406,380.36719998999996,2,0.09047790616750717,5.59282020330429,440980,-0.5737951397895813,0.003,-135.30169677734375
22299,143,160.69,8462,374.31494237,2,0.08799917995929718,5.243177032470703,443960,-0.5499957799911499,0.003,-136.3309326171875
22447,144,161.09,8518,376.07224795,2,0.09285885095596313,7.226477718353271,446920,0.22233012318611145,0.003,-136.7789306640625
22597,145,161.47,8576,377.76416285000005,2,0.09339479357004166,4.789049458503723,449920,-0.24703124165534973,0.003,-136.63926696777344
22747,146,161.7,8632,379.40845557000006,2,0.09003952890634537,8.50236498117447,452920,-0.4768029451370239,0.003,-140.56964111328125
22894,147,153.17,8687,373.62056995,2,0.09276784211397171,4.38241446018219,455860,0.31813517212867737,0.003,-136.76116943359375
23043,148,144.66,8742,366.48519117,2,0.09952782839536667,5.3316314101219175,458840,0.5253903865814209,0.003,-138.79302978515625
23193,149,144.69,8799,367.60847854,2,0.09312301874160767,6.055190396308899,461840,0.2232104390859604,0.003,-140.72308349609375
23343,150,144.92,8855,369.00058703999997,2,0.08907172828912735,6.562560296058654,464840,1.0536094903945923,0.003,-141.94924926757812
23493,151,145.14,8912,370.31089283,2,0.09483462572097778,5.775440835952759,467840,-0.0757530927658081,0.003,-137.177490234375
23642,152,145.22,8969,371.5213533400001,2,0.09136294573545456,4.712062656879425,470820,0.5180351734161377,0.003,-145.062255859375
23796,153,145.51,9028,373.1228568300001,2,0.09758275002241135,8.89980090856552,473900,-0.1801692545413971,0.003,-134.7908477783203
23945,154,145.7,9084,374.52615753000015,2,0.09287173300981522,4.8550172567367555,476880,-0.569469153881073,0.003,-137.3037567138672
24094,155,145.83,9140,375.77676724,2,0.09450308978557587,5.919574451446533,479860,-0.36640191078186035,0.003,-137.9243927001953
24243,156,146.0,9196,377.14515704000013,2,0.09794145822525024,5.781219124794006,482840,0.06166815757751465,0.003,-137.22409057617188
24394,157,146.15,9255,378.3973653000001,2,0.09696684032678604,6.427776718139649,485860,0.01936429738998413,0.003,-136.33399963378906
24544,158,146.29,9311,379.58051810999996,2,0.09793990105390549,9.003835082054138,488860,-0.4116971790790558,0.003,-139.00320434570312
24693,159,146.36,9367,380.66341685,2,0.10170494765043259,9.651540732383728,491840,-0.3169901967048645,0.003,-138.08462524414062
24842,160,146.53,9423,381.81795320000003,2,0.10156239569187164,11.9570782661438,494820,-0.10768577456474304,0.003,-132.51107788085938
24990,161,146.65,9479,382.89136268000004,2,0.1042790338397026,5.863480281829834,497780,0.09091200679540634,0.003,-133.2595672607422
25139,162,146.68,9535,383.92152065999994,2,0.09685379266738892,7.5859222412109375,500760,-0.33960554003715515,0.003,-130.3990478515625
25289,163,146.77,9592,384.93964161,2,0.10428228974342346,10.575362968444825,503760,0.31599748134613037,0.003,-129.97427368164062
25438,164,147.81,9649,388.36470088999994,2,0.1108144000172615,9.775700187683105,506740,0.19236008822917938,0.003,-131.95660400390625
25588,165,147.87,9707,389.38790025,2,0.10692435503005981,8.375558662414551,509740,-0.09081046283245087,0.003,-133.9783935546875
25737,166,148.01,9763,390.56677291999995,2,0.10320927202701569,7.1423779964447025,512720,0.5676636695861816,0.003,-132.5001983642578
25885,167,148.12,9820,391.5321971999999,2,0.10136731714010239,7.3915043592453005,515680,-0.23891940712928772,0.003,-130.72607421875
