time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/episodes,train/ent_coef_loss,train/ent_coef,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss
5,26209,174.86823134,4878,219.31,158,6.148931169509888,0.022969835624098777,0.03,10.670662569999696,522160,-41.76733512878418
5,26433,174.42853659,4913,220.73,159,2.232998715341091,0.04489160310477018,0.03,7.862877869606018,526640,-39.9890100479126
5,26606,174.54774854999997,4936,221.9,160,-6.6332392454147335,0.018479112442582844,0.03,17.437993907928465,530100,-40.72293643951416
5,26807,175.31247926,4966,223.21,161,0.913114857673645,0.06265321616083383,0.03,28.83929603099823,534120,-40.64903373718262
5,27011,176.29186662999996,5009,225.07,162,3.7765908040106297,0.006197650055401027,0.03,10.220495402812958,538200,-40.92213649749756
5,27238,177.45549071000002,5057,227.17,163,1.9384356707334518,0.036234264448285106,0.03,14.750341796875,542740,-40.96359691619873
5,27444,177.96045757,5104,228.42,164,4.177285754680634,0.014324976783245801,0.03,18.62163805961609,546860,-40.791761779785155
5,27681,179.04164539999994,5145,230.29,165,-0.19296730682253838,0.043353060632944106,0.03,12.588858199119567,551600,-39.90782279968262
5,27888,179.00569796999997,5188,231.16,166,2.166079765558243,0.016406934428960084,0.03,7.947945368289948,555740,-40.94596614837646
5,28059,179.27172636,5220,232.34,167,-3.2884165346622467,0.05278995279222727,0.03,13.193768095970153,559160,-40.76119956970215
5,28249,179.42592293999994,5260,233.16,168,-0.6660092912614346,0.2523327924311161,0.03,52.119927978515626,562960,-41.861588668823245
5,28592,182.10486712,5312,235.33,169,-0.11241394206881523,0.008039410226047039,0.03,67.12205371856689,569820,-46.11962184906006
5,28813,181.8133667799999,5349,235.68,170,5.516236960887909,0.012800321821123362,0.03,58.49482879638672,574240,-49.709239387512206
5,29045,181.61009782999997,5400,236.14,171,-3.9987120389938355,0.02482662918046117,0.03,65.4843278169632,578880,-43.51248359680176
5,29291,179.44105102999998,5452,236.75,172,-1.2074705347418786,0.041560209542512896,0.03,23.439946031570436,583800,-46.29791450500488
5,29717,179.63717748999997,5532,239.12,173,13.590639114379883,0.006084876484237611,0.03,15.995683920383453,592320,-46.99642677307129
5,29856,181.82217334999999,5551,238.72,174,5.138567885756492,0.09303237181156873,0.03,14.976757860183715,595100,-48.086407852172854
5,30062,182.97543372999996,5592,239.13,175,-0.2741425074636936,0.02563582081347704,0.03,68.08290100097656,599220,-47.67352809906006
5,30253,183.43309647999996,5622,240.6,176,5.853668975830078,0.009192032273858786,0.03,25.58327693939209,603040,-49.236105346679686
5,30443,186.03167065999997,5658,241.66,177,7.677689170837402,0.007987452205270529,0.03,22.540016305446624,606840,-49.11061820983887
5,30622,184.26403291999995,5693,241.89,178,3.1248330235481263,0.021940921247005463,0.03,19.693041384220123,610420,-50.1381139755249
5,30823,184.49009748999998,5737,242.76,179,8.655977463722229,0.035107880551368,0.03,51.458451461791995,614440,-54.5351526260376
5,31062,185.58649488999995,5770,244.44,180,-4.00861873626709,0.12771930806338788,0.03,1195.3938094139098,619220,-61.812772560119626
5,31384,190.80573851999998,5830,246.73,181,3.3872729361057283,0.0007944297336507589,0.03,13655.6783536911,625660,-118.30054187774658
5,31649,190.87026217000002,5871,248.46,182,-7.960274600982666,0.09839947521686554,0.03,10317.276359814405,630960,-160.15443019866944
5,31753,186.81857821000003,5884,246.52,183,0.4056419014930725,0.022246482968330383,0.03,29007.277662563323,633040,-180.01332149505615
5,31875,185.74287534000004,5911,244.38,184,-1.2223284125328064,0.041325063444674015,0.03,5358.667630121112,635480,-162.3293613433838
5,32196,187.10646747,5971,245.93,185,0.06777386791072786,1.2573510646820067,0.03,12427.143130016328,641900,-116.30993814468384
