time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/episodes,train/actor_loss,train/ent_coef_loss,train/learning_rate,train/n_updates,train/ent_coef,train/critic_loss
13685,2978,210.14949698999996,136.06,4,104,-22104.8630859375,0.08224552348256112,0.003,271680,68.16448059082032,243714.33125
14032,3055,215.20137212000006,139.4,4,105,-19382.16806640625,-0.254630907997489,0.003,278620,56.54502220153809,209734.765625
14545,3163,220.99332354,144.37,4,106,-17926.818359375,-0.10792685598134995,0.003,288880,64.0202033996582,223948.796875
14949,3253,225.64233740000003,147.55,4,107,-19758.58818359375,0.41057003736495973,0.003,296960,60.31132926940918,293486.0546875
15092,3284,227.22665545000004,148.53,4,108,-18620.40849609375,-0.4812883220613003,0.003,299820,46.32460460662842,185314.3671875
15217,3311,229.09607899000002,149.56,4,109,-17845.63017578125,-0.1828221522271633,0.003,302320,58.490901947021484,171721.23046875
15339,3337,229.63761807,149.99,4,110,-17436.02080078125,0.10882403925061226,0.003,304760,49.853735733032224,180854.69140625
15541,3381,231.91529021,151.52,4,111,-17097.417138671874,-0.388746440783143,0.003,308800,66.50679588317871,245580.9296875
16441,3581,243.06776367999998,159.77,4,112,-18112.164453125,0.07383760288357735,0.003,326800,61.74138965606689,129369.125390625
16475,3589,242.59792546,159.56,4,113,-18066.3955078125,-0.30185467004776,0.003,327480,58.853331565856934,134385.784375
16750,3649,247.61541189000002,162.19,4,114,-16843.395654296874,0.2735124886035919,0.003,332980,53.55361099243164,130173.058203125
16883,3679,249.80708452,163.39,4,115,-17264.8353515625,0.19662404470145703,0.003,335640,68.50380630493164,149413.091796875
16907,3684,249.98771022,163.38,4,116,-17474.45888671875,-0.16746671535074711,0.003,336120,70.05481262207032,160633.27734375
17071,3721,252.30248120999997,164.76,4,117,-18103.48681640625,0.4401604883372784,0.003,339400,65.60145950317383,161013.16328125
18071,3941,263.28273317,173.87,4,118,-12699.536376953125,0.17998897656798363,0.003,359400,40.51602020263672,104517.2392578125
18474,4026,269.09063609,177.23,4,119,-11193.105517578126,-0.2506858855485916,0.003,367460,39.00106582641602,84669.389453125
18496,4031,265.74938184999996,175.75,4,120,-11019.509912109375,0.022795277088880538,0.003,367900,43.80263328552246,91432.246875
18522,4038,265.88331945000004,175.82,4,121,-11299.269091796876,-0.4282063901424408,0.003,368420,45.520277404785155,100219.428515625
18572,4049,266.36800031,176.18,4,122,-11857.567138671875,0.031334467232227325,0.003,369420,52.21718616485596,129200.792578125
18715,4080,268.0238251,177.45,4,123,-12879.50830078125,-0.28273396082222463,0.003,372280,51.27639598846436,120401.21484375
19216,4192,273.56261729,182.31,4,124,-13082.1171875,0.12385458126664162,0.003,382300,49.11137733459473,97205.51171875
19475,4250,277.27415006,184.73,4,125,-13354.593701171874,0.0698860514909029,0.003,387480,38.96040802001953,104871.94296875
19599,4277,277.53692779,184.71,4,126,-13046.3310546875,0.17590174339711667,0.003,389960,33.93219127655029,105326.23671875
20246,4414,283.83560235,190.75,4,127,-11765.99560546875,0.0642112098634243,0.003,402900,29.004273319244383,75414.473046875
20554,4482,286.89077864999996,191.36,4,128,-10712.229443359374,-0.07702919840812683,0.003,409060,31.300057029724123,83559.446484375
20756,4525,290.29233529,192.84,4,129,-12468.824267578126,0.15966883189976216,0.003,413100,46.04029178619385,103038.81015625
21756,4742,296.06393798,200.65,4,130,-12126.885498046875,-0.3478108488023281,0.003,433100,33.13911533355713,67592.45625
21966,4788,293.76334081,201.06,4,131,-13725.2392578125,0.22454007919877766,0.003,437300,45.29861946105957,118361.434375
22329,4867,297.45202853,204.38,4,132,-15643.541748046875,-0.19947896972298623,0.003,444560,60.94186954498291,173615.303125
22467,4896,297.24134717000004,204.37,4,133,-19465.29560546875,-0.06095234155654907,0.003,447320,71.89232215881347,276485.803125
22559,4918,295.77488127,203.89,4,134,-21755.37998046875,-0.2146606758236885,0.003,449160,73.59938354492188,451557.41875
22661,4941,294.53847491,203.38,4,135,-24215.86337890625,-0.2937708094716072,0.003,451200,80.10606117248535,414438.784375
22769,4965,293.48751681,202.79,4,136,-26710.0236328125,-0.3652440279722214,0.003,453360,82.94863624572754,583146.61875
22867,4984,293.67539074,202.89,4,137,-28381.0814453125,0.018642394244670867,0.003,455320,80.62863082885742,521710.509375
23010,5016,294.8751601200001,203.44,4,138,-30682.71552734375,-0.4849536132067442,0.003,458180,88.99017028808593,515444.4671875
23671,5159,305.57839202,209.73,4,139,-31208.315625,0.21571592539548873,0.003,471400,99.95489082336425,454110.9734375
24132,5256,310.77874224000004,213.47,4,140,-27233.79658203125,-0.048136408627033236,0.003,480620,71.04752388000489,371478.0015625
24871,5418,315.77645953,219.04,4,141,-20261.25888671875,-0.13373679146170617,0.003,495400,41.0755392074585,180608.27109375
25750,5612,319.61397629,224.02,4,142,-15014.372216796875,-0.14457248374819756,0.003,512980,44.54533042907715,124115.358984375
25787,5621,317.25180936000004,222.66,4,143,-15182.306103515624,-0.5669589340686798,0.003,513720,40.66616287231445,120123.26171875
25833,5631,315.33721308,221.7,4,144,-14727.116943359375,0.11509661003947258,0.003,514640,35.303307914733885,141721.7875
