rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef,train/ent_coef_loss
112.70833333333333,5,10820,1975,96,91.25196247916665,0.03,9.030693554878235,214380,-37.2526777267456,0.023504719696938993,1.2710905805230142
113.78350515463917,5,11037,2013,97,91.36658211340205,0.03,9.867719769477844,218720,-38.26060409545899,0.03474236028268933,-3.1242544457316397
114.63265306122449,5,11234,2051,98,93.3852156020408,0.03,9.095465755462646,222660,-39.490594482421876,0.03608075780794025,-3.845626437664032
115.86868686868686,5,11471,2097,99,93.98345094949494,0.03,8.413902258872985,227400,-39.820624351501465,0.014630910754203797,4.8581348061561584
117.17,5,11717,2142,100,94.35279539999999,0.03,11.355847668647765,232320,-39.15854415893555,0.043302430771291256,-2.6057627692818643
119.24,5,11936,2189,101,97.75409762000001,0.03,8.898260748386383,236700,-41.58278064727783,0.02525539891794324,2.789070002734661
121.1,5,12138,2223,102,100.97156085,0.03,11.475913095474244,240740,-42.50003490447998,0.02059162799268961,0.9809292204678058
122.47,5,12309,2248,103,102.02241312000002,0.03,9.760077238082886,244160,-43.499029541015624,0.03545008925721049,-5.88222953081131
124.02,5,12488,2284,104,103.37096899999999,0.03,11.18862750530243,247740,-43.70498924255371,0.033505948074162004,-0.2933972246944904
128.63,5,12966,2366,105,109.37359467000002,0.03,8.978942477703095,257300,-44.55969181060791,0.028280663397163154,2.184388521313667
129.91,5,13121,2391,106,111.26123030000001,0.03,11.901235556602478,260400,-45.59674854278565,0.025464141834527255,4.503022164106369
133.38,5,13517,2452,107,115.59826302000002,0.03,10.399591064453125,268320,-46.82919425964356,0.023585525713860987,-0.4296959213912487
138.09,5,14154,2567,108,120.26916603,0.03,9.537135338783264,281060,-47.98390407562256,0.04999079052358866,-4.904192189872265
145.53,5,15016,2718,109,130.95083484,0.03,10.420415616035461,298300,-48.19319744110108,0.012341886013746261,1.548985955119133
153.56,5,16016,2882,110,140.81704057,0.03,9.172093152999878,318300,-51.868647766113284,0.029941087309271096,-2.9460871160030364
154.39,5,16303,2933,111,140.42901596,0.03,8.928044390678405,324040,-51.625501441955564,0.030591042432934045,-1.1058776021003722
163.66,5,17303,3131,112,150.30248468,0.03,13.524185061454773,344040,-56.353830909729005,0.048213026486337185,0.01087576374411583
173.18,5,18303,3299,113,160.39796203,0.03,11.598174023628236,364040,-57.17685375213623,0.028733345959335566,1.5836095303297042
182.74,5,19303,3464,114,170.35164743,0.03,10.678221678733825,384040,-57.2900032043457,0.02614625645801425,4.487307476997375
192.65,5,20303,3637,115,180.80386197000004,0.03,9.862807166576385,404040,-61.144203186035156,0.027643431071192028,1.1142948396503924
202.54,5,21303,3821,116,191.37401773000002,0.03,11.049220764636994,424040,-62.84076442718506,0.02808200791478157,0.09088611230254173
203.22,5,21396,3837,117,192.09323201000004,0.03,9.915824604034423,425900,-62.624813842773435,0.042033384554088116,1.4257442072033881
212.96,5,22396,4023,118,202.46418049,0.03,9.217824256420135,445900,-62.21982536315918,0.029834447242319585,-2.792221428453922
214.7,5,22658,4064,119,206.20824885,0.03,11.24883029460907,451140,-61.345581245422366,0.04228930119425058,-0.7192942425608635
222.34,5,23658,4218,120,214.17520146999996,0.03,9.966665387153625,471140,-64.37978858947754,0.021602980513125657,4.700130906701088
231.4,5,24658,4374,121,224.70871158999998,0.03,7.618922376632691,491140,-63.64410266876221,0.05666091665625572,-0.7201159548014402
239.41,5,25515,4510,122,234.47496086999996,0.03,10.369758367538452,508280,-64.96204833984375,0.0325234861113131,-0.024503278732299804
249.18,5,26515,4665,123,245.09401519,0.03,8.413895934820175,528280,-66.09310417175293,0.0168563025072217,3.1872338175773622
258.9,5,27515,4819,124,255.72477052000002,0.03,8.692877769470215,548280,-66.07237186431885,0.04557114709168673,-5.446871340274811
268.35,5,28515,4974,125,266.32856688,0.03,9.960788881778717,568280,-67.9239055633545,0.030525066517293455,3.4599488496780397
278.09,5,29515,5129,126,277.047381,0.03,9.150113201141357,588280,-69.41113891601563,0.05984563156962395,-4.370097285509109
287.47,5,30515,5286,127,287.56861208,0.03,6.616824078559875,608280,-71.63431510925292,0.022025630809366703,3.678285124152899
296.82,5,31515,5444,128,298.28857666000005,0.03,6.2600252866745,628280,-73.32236213684082,0.038856970798224214,0.12401312440633774
304.99,5,32515,5600,129,308.761554,0.03,8.168816363811493,648280,-74.24468650817872,0.04265699461102486,-3.8539878487586976
313.99,5,33515,5756,130,319.15461220000003,0.03,5.854454153776169,668280,-74.45248489379883,0.03533519767224789,1.5935783132910728
323.03,5,34515,5914,131,329.60536225000004,0.03,6.950484496355057,688280,-74.13716583251953,0.03280959166586399,0.5433190211653709
331.76,5,35515,6072,132,339.89148603,0.03,4.818695849180221,708280,-73.76635780334473,0.040333626233041285,-2.608110915124416
