time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/episodes,train/critic_loss,train/n_updates,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/ent_coef
5,209.47,218.69058578999997,7856,43305,246,4823416896.0,864080,0.003,-1228413.65,0.5377433508634567,2580.485314941406
5,209.22,215.73907481999998,7879,43454,247,5005467801.6,867060,0.003,-1252640.73125,0.6250543683767319,2638.111218261719
5,210.15,216.07951505999998,7925,43719,248,4697603904.0,872360,0.003,-1248227.76875,-0.2796101689338684,2487.4560791015624
5,211.01,218.71145936999997,7970,43955,249,4992089804.8,877080,0.003,-1257693.26875,-0.3376502640545368,2509.55810546875
5,210.69,218.28360002999997,7993,44057,250,4649206809.6,879120,0.003,-1252505.35,0.712512668967247,2515.9051025390627
5,211.26,218.92485713999997,8027,44239,251,4448157235.2,882760,0.003,-1229383.96875,-0.6987626373767852,2581.7863159179688
5,213.28,221.35993579,8095,44580,252,4145817843.2,889580,0.003,-1213129.975,-0.313598570227623,2535.347607421875
5,208.77,216.00200218,8126,44732,253,4550383859.2,892620,0.003,-1189702.5375,0.31694812774658204,2435.3628662109377
5,212.86,221.04807652000002,8232,45280,254,4760390707.2,903580,0.003,-1243192.6875,-0.9296428769826889,2846.0713745117187
5,216.12,227.03038353000002,8331,45828,255,4349237017.6,914540,0.003,-1262122.11875,1.2974653571844101,2700.1007446289063
5,216.12,231.12206677000003,8374,46061,256,4862923942.4,919200,0.003,-1236503.14375,-0.1370019018650055,2706.2636474609376
5,214.41,228.73786443,8402,46213,257,5021003008.0,922240,0.003,-1228592.6125,1.3419528871774673,2740.7548095703123
5,213.49,228.53271142999998,8448,46438,258,5118682662.4,926740,0.003,-1253488.625,0.33451828062534333,2794.0520751953127
5,213.73,229.94648958999997,8491,46698,259,5627243891.2,931940,0.003,-1301273.575,-1.1589454591274262,2808.8486450195314
5,213.82,230.49344553999998,8513,46817,260,5454505753.6,934320,0.003,-1290493.2875,0.3708923548460007,2909.90703125
5,214.37,233.18702155,8549,47002,261,5052190092.8,938020,0.003,-1301700.89375,1.0361166149377823,2763.9091796875
5,220.93,249.32575648999997,8683,47740,262,4898767040.0,952780,0.003,-1281415.03125,-0.4466656222939491,2610.2180908203127
5,222.44,250.95509387,8740,48034,263,4201593459.2,958660,0.003,-1272427.1625,-1.5375143900513648,2598.626354980469
5,222.38,251.49340876,8760,48139,264,4463736947.2,960760,0.003,-1249805.10625,-0.28149901032447816,2545.6611572265624
5,229.2,263.77085139,8905,48934,265,3961321804.8,976660,0.003,-1142752.55625,1.7829004585742951,2378.4504272460936
5,230.18,265.60419317,8946,49138,266,3654116288.0,980740,0.003,-1123607.675,0.09327520281076432,2436.8044921875
5,228.62,264.045675,8968,49289,267,3454091712.0,983760,0.003,-1104243.875,-2.41170434653759,2352.2425903320313
5,229.35,266.04915732,9027,49607,268,3272566246.4,990120,0.003,-1067604.6625,0.05647044628858566,2321.2721313476563
5,226.8,261.24660612,9061,49843,269,3209574937.6,994840,0.003,-1039001.084375,-0.9086608916521073,2107.8513061523436
5,231.56,264.64976562,9170,50385,270,3015383244.8,1005680,0.003,-947094.871875,1.584181824326515,2071.7390625
5,234.03,269.03624530999997,9222,50678,271,2814134912.0,1011540,0.003,-896067.55625,1.9906484633684158,2041.4595581054687
5,235.46,273.47515642999997,9271,50947,272,3206155097.6,1016920,0.003,-898827.165625,-0.03694375455379486,1974.3781677246093
5,235.85,277.17240024,9294,51107,273,2926552473.6,1020120,0.003,-907640.053125,0.8551013112068176,2010.6143005371093
5,237.56,281.53485132000003,9346,51386,274,2772247577.6,1025700,0.003,-921536.140625,-1.8705369144678117,1889.6976623535156
5,238.34,284.29610516,9385,51565,275,2591022348.8,1029280,0.003,-924336.46875,-0.8364416927099227,1817.338555908203
5,238.05,285.53708565,9418,51718,276,2669997235.2,1032340,0.003,-916697.88125,2.1168824404478075,1862.7026611328124
5,229.74,277.26590902000004,9454,51887,277,2774442726.4,1035720,0.003,-913369.125,0.7208584129810334,1798.365966796875
5,230.85,279.13785006000006,9481,52050,278,2797999494.4,1038980,0.003,-886778.696875,-1.8306700766086579,1862.8821411132812
5,231.42,280.2568756400001,9552,52420,279,2775183219.2,1046380,0.003,-880618.984375,-1.6543544992804526,1847.913818359375
5,232.85,282.93948487,9595,52670,280,2636312345.6,1051380,0.003,-874384.7,0.3601771295070648,1918.0049194335938
5,236.08,288.64308710999995,9700,53174,281,2682257817.6,1061460,0.003,-893247.684375,-0.8238811090588569,1898.8794677734375
5,235.55,288.99950663,9732,53338,282,2676555910.4,1064740,0.003,-884133.01875,0.01912757158279419,1936.1979858398438
5,236.05,289.53715951000004,9759,53502,283,2416831731.2,1068020,0.003,-895949.875,0.4445152781903744,1927.9642028808594
5,236.84,289.54700719,9781,53626,284,2474493184.0,1070500,0.003,-892017.984375,-0.17040523886680603,1867.5808959960937
5,237.02,291.85649297000003,9809,53762,285,2492676505.6,1073220,0.003,-875604.534375,0.27245847284793856,1801.168896484375
5,232.88,282.65465120000005,9822,53830,286,2409196211.2,1074580,0.003,-880808.175,-0.29106966853141786,1792.9005554199218
5,239.44,295.86386905,9975,54644,287,2708202969.6,1090860,0.003,-860821.01875,0.5535396948456764,1862.6354736328126
5,239.02,297.36934699,9990,54749,288,2541400544.0,1092960,0.003,-872071.459375,0.1980314314365387,1989.9973693847655
5,239.78,300.72922568999996,10034,54987,289,2463411635.2,1097720,0.003,-869825.496875,-0.6339061230421066,1886.95966796875
5,240.66,302.75227987000005,10124,55458,290,2620951724.8,1107140,0.003,-876009.66875,-2.4680089175701143,1957.9444213867187
5,242.37,307.5111043200001,10228,55952,291,3029860800.0,1117020,0.003,-910440.328125,-1.0906653210520745,1954.0280456542969
5,242.06,307.62039070000003,10259,56108,292,3021057024.0,1120140,0.003,-926896.625,-1.5664576143026352,1890.2104125976562
5,237.82,299.85409035,10286,56256,293,2780515865.6,1123100,0.003,-910776.64375,0.03617652654647827,1899.0738342285156
5,239.43,304.23917445,10350,56635,294,2611980729.6,1130680,0.003,-895898.721875,-0.09043765068054199,1761.2355895996093
5,241.21,307.7214316700001,10391,56860,295,2401761670.4,1135180,0.003,-861451.684375,1.6052347481250764,1736.7201293945313
5,239.1,306.2155092500001,10402,56919,296,2349701408.0,1136360,0.003,-856855.9375,0.10444897264242173,1663.9117248535156
5,230.73,297.12475286000006,10415,56994,297,2327007456.0,1137860,0.003,-843606.078125,0.7447871387004852,1685.701397705078
5,233.81,304.12313362000003,10509,57486,298,2217678880.0,1147700,0.003,-784339.884375,0.11307651400566102,1637.156805419922
5,235.15,305.91179794000004,10553,57720,299,2280780953.6,1152380,0.003,-786558.73125,1.9789663329720497,1689.50654296875
