rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,time/episodes,train/critic_loss,train/learning_rate,train/n_updates,train/actor_loss,train/ent_coef_loss,train/ent_coef
129.56137315492958,1767,5,145.33802816901408,10319,71,492037878579.2,0.003,204360,-15536289.85,-0.02717486321926117,36659.6689453125
129.27728877777778,1809,5,146.65277777777777,10559,72,486940717875.2,0.003,209160,-15575418.5,-0.47341630756855013,34383.84140625
130.46626782191782,1884,5,149.7945205479452,10935,73,397279000985.6,0.003,216680,-15662342.1,0.3041952073574066,32511.17958984375
134.52880997297297,1946,5,152.2027027027027,11263,74,340610955673.6,0.003,223240,-14710759.75,0.8973435074090957,33045.69140625
137.64113694666668,1989,5,153.62666666666667,11522,75,306912885964.8,0.003,228420,-14039094.05,-1.2879615813493728,31520.49462890625
139.28846511842107,2024,5,154.01315789473685,11705,76,304101484953.6,0.003,232080,-13246634.05,0.4680662214756012,29205.13642578125
142.02868944155847,2056,5,154.64935064935065,11908,77,298963197132.8,0.003,236140,-12879602.9,0.39061985313892367,28873.7392578125
142.24887970512822,2089,5,154.73076923076923,12069,78,316143120384.0,0.003,239360,-12464766.6,-1.4335358157753944,28003.89326171875
141.832722721519,2131,5,156.31645569620252,12349,79,254486414131.2,0.003,244960,-11733590.6,-0.822777770459652,28189.23740234375
143.591048,2172,5,156.95,12556,80,241389952204.8,0.003,249100,-11094378.25,-0.1667032867670059,27223.44931640625
144.2479625802469,2240,5,160.03703703703704,12963,81,226390524723.2,0.003,257240,-10757508.1,-0.8229236423969268,26914.3669921875
142.65997397560974,2259,5,159.3658536585366,13068,82,220673039564.8,0.003,259340,-10541181.9,0.745984998345375,27194.29814453125
144.27850920481924,2291,5,159.53012048192772,13241,83,204705591296.0,0.003,262800,-10273923.6,-1.4704689919948577,25612.8080078125
146.2579281428571,2329,5,159.9047619047619,13432,84,199039272550.4,0.003,266620,-10188937.95,0.07133404910564423,26127.09990234375
148.15777272941173,2360,5,160.28235294117647,13624,85,194835961446.4,0.003,270460,-9813900.4,-0.008381867408752441,25396.38310546875
149.88678859302323,2401,5,161.1860465116279,13862,86,173920081510.4,0.003,275220,-9204932.8,-0.5455021739006043,23913.96708984375
149.47142649425285,2433,5,161.19540229885058,14024,87,170015713689.6,0.003,278460,-8846615.8,1.566340336203575,22972.994921875
147.94972986363635,2437,5,159.70454545454547,14054,88,171104994918.4,0.003,279060,-8850657.85,1.2773456007242203,23021.44677734375
