time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/learning_rate,train/ent_coef_loss,train/ent_coef,train/n_updates,train/actor_loss,train/critic_loss
1349,42.2680412371134,3,54.5586644742268,4100,97,0.03,-2.320920944213867,0.062478888779878616,79980,-20.17795181274414,29.834139251708983
1353,41.96938775510204,3,54.01868970408162,4113,98,0.03,2.999577045440674,0.050572872161865234,80240,-25.02536392211914,18.78485279083252
1358,41.686868686868685,3,53.504632929292924,4127,99,0.03,0.2622140049934387,0.062162622809410095,80520,-23.199787139892578,25.930016422271727
1361,41.38,3,52.988671329999995,4138,100,0.03,-1.0544835329055786,0.07528992742300034,80740,-23.269176483154297,27.99130735397339
1365,41.33,3,52.951733729999994,4151,101,0.03,-2.2766709327697754,0.07246556878089905,81000,-20.513294219970703,25.713134860992433
1370,41.25,3,52.91298884,4165,102,0.03,-0.8532297611236572,0.04862049221992493,81280,-22.31385612487793,20.313036108016966
1374,41.08,3,52.90745162,4175,103,0.03,2.147197961807251,0.043691862374544144,81480,-19.50922393798828,22.906213903427123
1378,41.05,3,52.94895809,4189,104,0.03,5.509803295135498,0.06011858955025673,81760,-23.84716796875,31.18363227844238
1382,41.06,3,52.98400724000001,4202,105,0.03,-3.038179636001587,0.10228101909160614,82020,-20.16852569580078,35.439950942993164
1386,40.99,3,52.92347151,4214,106,0.03,-3.3730578422546387,0.0820266455411911,82260,-23.096044540405273,28.491145133972168
1391,41.02,3,53.04376824,4229,107,0.03,1.0872825384140015,0.046499595046043396,82560,-24.583541870117188,21.0765362739563
1395,41.01,3,53.06956925,4240,108,0.03,3.143220901489258,0.0483408160507679,82780,-20.071943283081055,28.309231567382813
1399,40.95,3,53.084058940000006,4253,109,0.03,0.8793677091598511,0.06685284525156021,83040,-25.56997299194336,29.733794069290163
1403,40.96,3,53.10343456,4265,110,0.03,0.7091194987297058,0.0752551332116127,83280,-23.19839859008789,31.6764347076416
1407,41.0,3,53.146457309999995,4278,111,0.03,-0.3486228883266449,0.07133050262928009,83540,-24.93655776977539,27.673719596862792
1412,41.06,3,53.18645185,4291,112,0.03,-0.372791588306427,0.06010878458619118,83800,-22.730247497558594,37.72613477706909
