rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/critic_loss,train/ent_coef,train/actor_loss,train/ent_coef_loss
146.29,4,3918,17976,135,252.97887396999994,357500,0.003,64017.6126953125,36.287896156311035,-11060.759033203125,0.3103342391550541
146.82,4,3947,18113,136,253.94059070999992,360240,0.003,58628.075390625,23.703063201904296,-10331.263916015625,-0.09758584722876548
147.27,4,3976,18251,137,254.72114969999996,363000,0.003,62687.3177734375,28.092475128173827,-9419.854833984375,-0.027348848432302474
146.88,4,3990,18312,138,253.62426806999997,364220,0.003,76761.162109375,34.27280521392822,-9584.818701171875,-0.36119111329317094
147.77,4,4031,18498,139,255.08126059999995,367940,0.003,112100.806640625,46.01121349334717,-11157.236669921875,-0.8031170427799225
147.65,4,4048,18578,140,254.63922131999996,369540,0.003,117500.609765625,51.1161470413208,-12135.84619140625,-0.7825295645743608
150.58,4,4144,19012,141,256.42901603999996,378220,0.003,128207.550390625,31.91565923690796,-12532.55517578125,-0.09012428596615792
151.83,4,4188,19223,142,257.67229376,382440,0.003,95520.8875,35.857729530334474,-12314.440380859374,-0.011512605100870132
152.06,4,4225,19395,143,258.05779683,385880,0.003,69872.8697265625,25.97310791015625,-11562.337158203125,-0.26863059010356666
152.42,4,4257,19536,144,258.47524311,388700,0.003,54727.7947265625,22.569169521331787,-10392.18408203125,0.30411632992327214
152.94,4,4292,19687,145,258.08664174,391720,0.003,70768.471484375,36.09987564086914,-10127.828369140625,0.23541166372597216
152.98,4,4328,19843,146,257.78529875,394840,0.003,73806.5091796875,39.75774364471435,-10573.4033203125,-0.49722787775099275
153.09,4,4351,19949,147,257.65299472999993,396960,0.003,68537.4810546875,34.070083427429196,-11072.11201171875,0.5664401024580001
153.71,4,4377,20071,148,258.7577935,399400,0.003,86285.7916015625,25.72966022491455,-10981.235498046875,0.03974641039967537
155.99,4,4428,20318,149,261.92917432999997,404340,0.003,200666.882421875,43.24601745605469,-13323.18056640625,0.0015139613300561906
162.08,4,4562,20944,150,269.50352587000003,416860,0.003,90741.751953125,32.107437229156496,-12333.122900390625,-0.6563346602022648
163.63,4,4600,21114,151,272.57377777,420260,0.003,94977.4708984375,32.446920776367186,-12341.420849609374,0.21470780149102212
165.75,4,4645,21340,152,276.43636951,424780,0.003,69499.12421875,23.98043575286865,-11564.611181640625,0.1602847460657358
167.96,4,4697,21579,153,279.97834711999997,429560,0.003,53692.583984375,22.778593063354492,-9985.780615234375,-0.8272684752941132
169.09,4,4727,21713,154,281.75556403,432240,0.003,50319.776953125,21.87044839859009,-9663.11787109375,-0.2625103458762169
169.78,4,4748,21813,155,282.19880456999994,434240,0.003,60038.6455078125,25.046266078948975,-9410.81357421875,-0.2864302687346935
170.9,4,4780,21964,156,283.0725354,437260,0.003,92774.81484375,29.452654075622558,-10797.085888671874,0.20091245248913764
171.76,4,4837,22232,157,283.80706489,442620,0.003,112402.53125,32.4940092086792,-12101.84208984375,-0.14593434929847718
