time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,train/ent_coef_loss,train/n_updates,train/ent_coef,train/critic_loss,train/actor_loss,train/learning_rate
3,202.61969158536584,1462,5224,41,127.41463414634147,-2.211665630340576,102460,0.10305234789848328,7.786562490463257,-156.9896240234375,0.03
3,205.25079804761904,1509,5389,42,128.3095238095238,1.362229585647583,105760,0.08934158831834793,9.355763363838197,-160.02249145507812,0.03
3,204.76602400000002,1534,5480,43,127.44186046511628,1.5623987913131714,107580,0.07766205072402954,7.482509922981262,-154.00538635253906,0.03
3,210.17481188636364,1616,5775,44,131.25,-1.1332080364227295,113480,0.10256726294755936,7.591095495223999,-148.91444396972656,0.03
3,214.94597386666666,1674,5981,45,132.9111111111111,1.7495160102844238,117600,0.08958997577428818,5.645447134971619,-149.6831512451172,0.03
3,221.8259382173913,1739,6218,46,135.17391304347825,0.41797053813934326,122340,0.07837570458650589,7.07188310623169,-143.55010986328125,0.03
3,223.0252158085106,1783,6375,47,135.63829787234042,2.5408775806427,125480,0.08923040330410004,9.851135396957398,-135.9132080078125,0.03
3,226.95170004166667,1851,6617,48,137.85416666666666,-0.7432385683059692,130320,0.10234497487545013,8.413339734077454,-136.47564697265625,0.03
3,228.8460384693878,1900,6797,49,138.71428571428572,2.850642204284668,133920,0.066332146525383,8.060185813903809,-138.28768920898438,0.03
3,230.61015272000003,1949,6973,50,139.46,-1.5593127012252808,137440,0.09173250198364258,7.5962302684783936,-135.1627197265625,0.03
3,232.49848896078439,2002,7161,51,140.41176470588235,0.3506413400173187,141200,0.10313896834850311,9.629200339317322,-140.74319458007812,0.03
3,234.85202711538466,2059,7367,52,141.67307692307693,2.207932472229004,145320,0.0830547884106636,7.405627250671387,-139.04464721679688,0.03
3,236.787110018868,2110,7549,53,142.43396226415095,0.13263988494873047,148960,0.06752681732177734,5.971884441375733,-136.81784057617188,0.03
3,241.58297538888894,2176,7782,54,144.11111111111111,0.07945099472999573,153620,0.07678983360528946,5.1815288186073305,-135.134765625,0.03
3,244.55176212727278,2239,8012,55,145.6727272727273,0.6730230450630188,158220,0.061157677322626114,5.481631731986999,-130.7370147705078,0.03
3,248.95656844642858,2326,8317,56,148.51785714285714,0.5454734563827515,164320,0.08933629840612411,4.982578670978546,-127.45929718017578,0.03
3,252.36260549122807,2401,8588,57,150.66666666666666,-0.20068204402923584,169740,0.08960418403148651,4.517603504657745,-118.96463012695312,0.03
