time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/ent_coef_loss,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef
7467,33961,189,289.12257354,4,234.44,0.11170517504215241,0.003,677200,-5424.008837890625,26116.2990234375,11.850641345977783
7686,34961,190,297.98894482000003,4,243.53,-0.4657833568751812,0.003,697200,-5380.846948242188,18834.864111328126,9.764114284515381
7772,35364,191,296.04385273,4,241.73,-0.12229613140225411,0.003,705260,-5816.145068359375,22666.737255859374,14.068395709991455
7813,35557,192,295.57785677000004,4,242.05,-0.1031506136059761,0.003,709120,-6426.1749267578125,23486.12890625,16.127184772491454
7825,35608,193,294.92848762,4,241.6,0.4053953990340233,0.003,710140,-6487.3590087890625,23404.9044921875,15.152685403823853
7880,35861,194,298.12164091,4,243.31,0.04056288432329893,0.003,715200,-6554.74140625,30007.734423828126,13.57644772529602
7914,36014,195,297.05521113,4,242.83,0.20905227661132814,0.003,718260,-6471.3416748046875,23474.9068359375,12.816696691513062
7968,36265,196,298.71083834999996,4,244.17,0.026574127189815045,0.003,723280,-5909.692700195313,24575.781689453124,10.211343908309937
8062,36705,197,300.85156359999996,4,247.18,-0.026830209977924825,0.003,732080,-5300.022631835937,19386.891015625,12.239421701431274
8069,36736,198,299.00175639,4,246.32,-0.01336613968014717,0.003,732700,-5234.6776123046875,17695.89423828125,11.29077205657959
8110,36927,199,300.66398775,4,247.48,-0.08220749236643314,0.003,736520,-4981.8482421875,19409.115625,9.078530550003052
8292,37747,200,307.46102404000004,4,254.67,-0.23673175722360612,0.003,752920,-4352.444897460938,22614.72421875,10.89117226600647
8486,38606,201,313.76033571,4,261.92,0.053346183337271216,0.003,770100,-5182.410961914063,20424.52255859375,11.180726766586304
8553,38925,202,314.69438772999996,4,263.81,-0.043299243599176404,0.003,776480,-4674.0203125,14073.459423828124,7.455463147163391
8773,39925,203,323.20852834,4,272.38,-0.09345806390047073,0.003,796480,-3040.2468872070312,6433.720043945313,5.333277869224548
8973,40848,204,332.35980188999997,4,280.5,0.21362793557345866,0.003,814940,-2407.8349487304686,20621.789697265624,6.962347388267517
9000,40962,205,329.63275746,4,278.55,-0.02068158835172653,0.003,817220,-2382.21123046875,12253.923681640625,5.5917352676391605
9091,41374,206,332.83119142,4,281.49,0.1819983296096325,0.003,825460,-2664.9309326171874,18453.59638671875,8.287324380874633
9136,41584,207,333.64137607000004,4,282.22,0.0400193240493536,0.003,829660,-2933.079138183594,18444.391650390626,8.649926376342773
9176,41769,208,334.14836545,4,281.45,-0.1812284667044878,0.003,833360,-3268.905627441406,15577.72724609375,9.325359916687011
9197,41862,209,331.18402543,4,278.62,0.05401629656553268,0.003,835220,-3299.5402954101564,15311.00068359375,8.15573763847351
9220,41965,210,330.03948103000005,4,277.71,0.13612652979791165,0.003,837280,-3137.947216796875,13531.90537109375,5.90953311920166
9373,42660,211,334.48429625000006,4,282.35,-0.046009191498160365,0.003,851180,-2349.8421875,5526.532568359375,4.521903085708618
9565,43557,212,342.70547490000007,4,289.76,0.11186904646456242,0.003,869120,-2140.5273315429686,4539.911669921875,4.8757140874862674
9603,43727,213,342.63271363,4,289.77,-0.1590231992304325,0.003,872520,-2119.7530517578125,3913.054724121094,3.6249895811080934
9636,43876,214,335.40866537999995,4,281.26,0.13245398690924048,0.003,875500,-1932.6796508789062,3394.678497314453,2.9785227298736574
9667,44015,215,336.32924909,4,281.29,-0.04072755537927151,0.003,878280,-1841.7063232421874,3891.780310058594,3.550098419189453
9887,45015,216,342.06103329999996,4,287.25,-0.1354787891730666,0.003,898280,-1338.8222534179688,1638.7862976074218,2.3364734172821047
9930,45207,217,343.78368652000006,4,289.06,0.15759929036721587,0.003,902120,-1373.1391357421876,2164.624853515625,3.043564224243164
9963,45359,218,338.04690608,4,283.52,0.09758857898414135,0.003,905160,-1417.9868041992188,2087.833319091797,2.712210988998413
9992,45491,219,335.50005917999994,4,282.2,-0.05591328507289291,0.003,907800,-1459.462823486328,2202.624639892578,2.766689455509186
10015,45597,220,332.95296458999997,4,280.87,0.026535448990762232,0.003,909920,-1465.3288146972657,2003.6903991699219,2.663030219078064
10030,45663,221,323.48395813999997,4,271.64,0.08577519208192826,0.003,911240,-1450.6087585449218,2561.5180053710938,2.973499965667725
10121,46084,222,325.03588536999996,4,274.39,-0.041498424299061296,0.003,919660,-1552.104718017578,2882.295330810547,2.989537262916565
10199,46431,223,329.2839270899999,4,277.35,0.11112130619585514,0.003,926600,-1759.4488159179687,2978.326623535156,3.493102467060089
10234,46602,224,329.63667994,4,277.44,-0.16884060390293598,0.003,930020,-1844.763671875,2850.5896240234374,3.787332844734192
