rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,time/episodes,train/learning_rate,train/n_updates,train/ent_coef,train/actor_loss,train/critic_loss,train/ent_coef_loss
231.11069043478255,841,150.7173913043478,6933,8,46,0.003,136640,0.15142816305160522,-243.88421630859375,4.364866185188293,-0.20950259268283844
226.48207802127655,845,148.14893617021278,6963,8,47,0.003,137240,0.15075963735580444,-248.59808349609375,5.047686398029327,-0.5393699407577515
222.5043295,852,146.27083333333334,7021,8,48,0.003,138400,0.15176329016685486,-245.0819854736328,8.144339561462402,0.6220912933349609
219.13369493877553,876,147.3877551020408,7222,8,49,0.003,142420,0.15802253782749176,-245.09657287597656,16.036612272262573,-0.27555161714553833
221.92755112000003,906,149.18,7459,8,50,0.003,147160,0.15004584193229675,-246.69635009765625,3.9768415451049806,-0.7651722431182861
225.6120086666667,934,150.80392156862746,7691,8,51,0.003,151800,0.145346999168396,-247.16323852539062,5.079636895656586,-0.08261600881814957
228.70752663461542,957,151.5,7878,8,52,0.003,155540,0.15136714279651642,-246.06793212890625,3.8109355568885803,-0.7442007660865784
229.94960809433968,972,151.1509433962264,8011,8,53,0.003,158200,0.15368111431598663,-250.9066162109375,4.149066293239594,-0.3006972372531891
231.42203401851856,991,151.22222222222223,8166,8,54,0.003,161300,0.1452152132987976,-248.7021026611328,3.398397374153137,-0.08961096405982971
235.64650400000005,1028,153.8181818181818,8460,8,55,0.003,167180,0.14340823888778687,-246.93994140625,4.4802987456321715,0.03850087523460388
239.48054507142857,1066,156.53571428571428,8766,8,56,0.003,173300,0.15017397701740265,-243.5264892578125,5.251293730735779,-0.851256787776947
240.66964187719296,1086,156.71929824561403,8933,8,57,0.003,176640,0.13933594524860382,-246.318603515625,5.779082238674164,-0.2720441222190857
237.45047836206894,1103,156.36206896551724,9069,8,58,0.003,179360,0.14712083339691162,-248.481689453125,5.331706798076629,0.12624110281467438
241.9928568474576,1144,159.45762711864407,9408,8,59,0.003,186140,0.14311690628528595,-244.26611328125,3.9700607299804687,-0.9645360112190247
242.54131879999994,1161,159.16666666666666,9550,8,60,0.003,188980,0.14611758291721344,-246.21762084960938,3.512581539154053,-0.005130603909492493
