time/total_timesteps,rollout/ep_len_mean,time/episodes,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/actor_loss,train/ent_coef,train/ent_coef_loss,train/critic_loss
21920,221.41414141414143,99,2,8458,306.5224927070707,436380,0.003,-110.34396362304688,0.03644997254014015,-0.6052643656730652,1.3786204963922501
22020,220.2,100,2,8496,305.8248012,438380,0.003,-110.11405181884766,0.03285892680287361,0.0985756665468216,1.6411256164312362
22120,220.93,101,2,8535,308.03843378,440380,0.003,-110.8873291015625,0.03321109712123871,-0.31485211849212646,1.4262369632720948
22220,221.68,102,2,8573,310.11468845,442380,0.003,-109.51610565185547,0.031952183693647385,-0.027850046753883362,1.3805423557758332
22322,222.57,103,2,8612,312.4067944,444420,0.003,-107.96173858642578,0.02956228330731392,-0.036451131105422974,1.3425792574882507
22431,223.53,104,2,8655,314.77244489000003,446600,0.003,-107.13230895996094,0.027490396052598953,0.4049716591835022,1.1759072899818421
22538,224.43,105,2,8696,317.05318951,448740,0.003,-107.52601623535156,0.02757946029305458,0.697028398513794,1.2329863131046295
22736,226.26,106,2,8772,320.32443096,452700,0.003,-102.98686218261719,0.030193444341421127,0.026995062828063965,1.4912756830453873
22840,227.06,107,2,8813,322.44711394999996,454780,0.003,-103.646728515625,0.0325293205678463,0.7065945863723755,1.1588460355997086
22943,227.46,108,2,8853,323.74699197999996,456840,0.003,-105.56533813476562,0.03943648189306259,-0.1876283586025238,1.2023959308862686
23051,228.05,109,2,8896,325.32313421,459000,0.003,-104.22482299804688,0.03280835598707199,-0.33410507440567017,1.231460103392601
23155,228.3,110,2,8935,326.13518765,461080,0.003,-109.01205444335938,0.03691290318965912,0.771053671836853,1.1840509712696075
23259,229.0,111,2,8975,328.09932191,463160,0.003,-105.45046997070312,0.03776290640234947,-0.6001983880996704,1.8128247797489165
23363,229.69,112,2,9015,330.00160302999996,465240,0.003,-104.68193054199219,0.03690700605511665,-0.061539337038993835,1.1224956035614013
23467,229.87,113,2,9055,330.59446618999993,467320,0.003,-108.60518646240234,0.03498070314526558,0.3043965697288513,1.683477169275284
23571,230.24,114,2,9095,331.83007770999996,469400,0.003,-107.6869125366211,0.03402339667081833,0.15102927386760712,1.4358455926179885
23677,230.86,115,2,9136,333.73929643,471520,0.003,-109.84617614746094,0.03511748090386391,0.2104448676109314,1.7154149770736695
23780,231.39,116,2,9176,335.40373551,473580,0.003,-108.56654357910156,0.03338339924812317,-0.06623634696006775,2.6102495700120927
23884,231.51,117,2,9216,335.83920271999995,475660,0.003,-111.57256317138672,0.037857893854379654,0.6767553091049194,1.3788822531700133
23987,232.03,118,2,9256,337.43445116999993,477720,0.003,-111.66162872314453,0.036112524569034576,-0.24189314246177673,1.2041274040937424
24090,232.16,119,2,9295,337.93652224,479780,0.003,-111.91757202148438,0.03598078712821007,0.10702946782112122,1.2481124550104141
24195,232.25,120,2,9335,338.27960086999997,481880,0.003,-111.78146362304688,0.03529229760169983,-0.05005994439125061,1.4502524137496948
24302,232.38,121,2,9376,338.77542488,484020,0.003,-112.5791015625,0.03239733353257179,0.1823444664478302,2.0714869618415834
24399,232.9,122,2,9414,340.28643539999996,485960,0.003,-112.95563507080078,0.034126315265893936,0.5711020231246948,1.5342370420694351
24502,233.01,123,2,9454,340.63773808999997,488020,0.003,-111.71871948242188,0.03432955965399742,0.7615256309509277,1.2613962680101394
24604,233.27,124,2,9493,341.48390824,490060,0.003,-111.25978088378906,0.03502921015024185,-0.16030539572238922,1.3371449738740921
24708,233.58,125,2,9534,342.4927458599999,492140,0.003,-107.27691650390625,0.035377368330955505,-0.13619092106819153,1.2794417142868042
24811,233.83,126,2,9573,343.35054771,494200,0.003,-114.94811248779297,0.0353911854326725,-0.6171044707298279,1.420676276087761
24914,234.18,127,2,9612,344.48886391,496260,0.003,-114.34285736083984,0.03641761839389801,0.04756574332714081,1.24958738386631
25016,234.25,128,2,9651,344.81529822000005,498300,0.003,-108.81330871582031,0.033384278416633606,-0.459151029586792,1.7998184114694595
25119,234.42,129,2,9690,346.35330813,500360,0.003,-112.65019226074219,0.03808487206697464,-0.193400576710701,1.9426883727312088
25223,234.96,130,2,9729,348.46625636000005,502440,0.003,-114.87090301513672,0.03668495640158653,-0.9892094135284424,1.1806803077459336
25327,235.11,131,2,9769,350.10452925000004,504520,0.003,-113.42572021484375,0.032437872141599655,0.26737627387046814,1.3936559766530991
25432,229.14,132,2,9810,345.38340914,506620,0.003,-112.1881103515625,0.034891869872808456,-0.15087319910526276,1.367352083325386
25537,228.75,133,2,9849,345.29960871,508720,0.003,-112.22794342041016,0.043252650648355484,-0.5714718103408813,2.096505585312843
25646,228.55,134,2,9891,346.23719209999996,510900,0.003,-110.73597717285156,0.03950498253107071,0.04027922451496124,1.2710902482271194
25751,228.02,135,2,9932,346.39882873999994,513000,0.003,-110.8994369506836,0.03973926603794098,0.48131468892097473,1.6166411459445953
25855,228.37,136,2,9972,347.96512728999994,515080,0.003,-111.18428802490234,0.038725245743989944,0.6434488296508789,1.236583763360977
25960,226.63,137,2,10012,346.6622827999999,517180,0.003,-112.5235824584961,0.03724399209022522,-0.7757394313812256,1.3774922966957093
26065,225.11,138,2,10052,345.4763037499999,519280,0.003,-113.65667724609375,0.03543313220143318,0.34083443880081177,1.4383261770009994
26164,225.18,139,2,10090,345.7307080799999,521260,0.003,-114.14958190917969,0.039808254688978195,-0.17525669932365417,1.3300740331411363
26266,225.34,140,2,10129,346.2661098399999,523300,0.003,-113.2689437866211,0.03607341647148132,1.185079574584961,1.6357722610235215
26369,225.44,141,2,10169,346.6309441199999,525360,0.003,-111.23297119140625,0.03577915579080582,-0.269166499376297,1.5891301870346068
26472,225.43,142,2,10208,347.02687814999996,527420,0.003,-110.79640197753906,0.035491153597831726,0.32460588216781616,1.150378555059433
26577,225.45,143,2,10249,348.07758335,529520,0.003,-112.73887634277344,0.036402251571416855,0.19146624207496643,1.5686238378286361
26682,224.76,144,2,10289,348.59710569,531620,0.003,-113.75984191894531,0.039613768458366394,-0.5667060613632202,1.9678613603115083
26787,215.81,145,2,10329,341.2884752299999,533720,0.003,-113.11006164550781,0.03880805894732475,-1.045041561126709,1.280594739317894
26892,206.86,146,2,10369,334.05992352999993,535820,0.003,-111.23220825195312,0.03458036482334137,0.247100368142128,1.2522032469511033
