time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/n_updates,train/ent_coef_loss,train/actor_loss,train/critic_loss
2,76.25841700000001,1612,4823,92,52.42391304347826,0.08223306387662888,0.03,94440,-1.795101284980774,-36.939918518066406,33.428631114959714
2,75.46811097849464,1616,4836,93,52.0,0.07095515727996826,0.03,94700,-0.4359038472175598,-34.87959289550781,24.753820610046386
2,74.72545328723405,1622,4852,94,51.61702127659574,0.07583308964967728,0.03,95020,-0.9598226547241211,-41.96124267578125,28.354590320587157
2,74.06542221052632,1629,4872,95,51.28421052631579,0.07363682240247726,0.03,95420,1.4281524419784546,-44.905059814453125,30.527632427215575
2,73.32697577083333,1634,4886,96,50.895833333333336,0.09683984518051147,0.03,95700,1.8774595260620117,-41.302616119384766,36.839748287200926
2,72.6423447628866,1639,4902,97,50.5360824742268,0.11844412237405777,0.03,96020,-2.0165610313415527,-41.24242401123047,32.20487146377563
2,71.89744245918368,1642,4911,98,50.11224489795919,0.08771315962076187,0.03,96200,-1.6033393144607544,-38.901466369628906,40.48033409118652
2,71.22217001010101,1647,4925,99,49.74747474747475,0.06258351355791092,0.03,96480,3.5983786582946777,-39.768646240234375,49.09627447128296
2,70.54051624,1652,4938,100,49.38,0.0859016701579094,0.03,96740,1.8640780448913574,-39.476776123046875,34.389564990997314
2,70.62009573999998,1657,4955,101,49.36,0.10685613006353378,0.03,97080,-0.6969146728515625,-44.952911376953125,29.008689165115356
2,70.6075943,1663,4970,102,49.27,0.08970838785171509,0.03,97380,-2.3717474937438965,-42.57136535644531,30.534287452697754
2,70.72801125,1669,4988,103,49.16,0.06865525990724564,0.03,97740,5.454505920410156,-41.03216552734375,30.000876903533936
2,70.66911507,1673,5001,104,48.87,0.1104947030544281,0.03,98000,-0.9026857614517212,-39.120155334472656,36.563776636123656
2,70.71157494,1678,5013,105,48.84,0.11672881990671158,0.03,98240,-1.952463150024414,-39.730804443359375,44.68623762130737
2,70.77679555,1683,5028,106,48.92,0.07804223150014877,0.03,98540,-0.9578173756599426,-40.53693389892578,27.627053451538085
2,70.8577916,1688,5043,107,48.99,0.061909839510917664,0.03,98840,4.26024055480957,-50.89761734008789,21.761435413360594
2,70.92129573,1693,5058,108,49.03,0.0852275937795639,0.03,99140,1.6708732843399048,-42.84283447265625,30.849114894866943
2,70.92203520999999,1698,5071,109,49.04,0.10753847658634186,0.03,99400,-1.8883025646209717,-42.064857482910156,44.001236534118654
