time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/episodes,train/actor_loss,train/ent_coef,train/ent_coef_loss,train/critic_loss,train/n_updates,train/learning_rate
1563,14041,277.21339188461536,8,180.01282051282053,78,-133.24093627929688,0.07464507222175598,-1.0344054698944092,4.729866874217987,278800,0.03
1584,14233,278.90015651898733,8,180.16455696202533,79,-133.72122192382812,0.07331228256225586,-0.06850329041481018,4.374012899398804,282640,0.03
1606,14426,280.28776683750004,8,180.325,80,-134.52642822265625,0.06634445488452911,-1.152504324913025,5.323445892333984,286500,0.03
1628,14622,281.4008320246914,8,180.5185185185185,81,-139.39654541015625,0.06365659087896347,1.5664039850234985,5.035014140605926,290420,0.03
1646,14792,281.87022946341466,8,180.390243902439,82,-138.636962890625,0.06388245522975922,2.080636978149414,5.703740215301513,293820,0.03
1669,14998,283.3770116265061,8,180.6987951807229,83,-141.45753479003906,0.06795437633991241,0.4932834804058075,5.593767428398133,297940,0.03
1695,15234,285.47358703571433,8,181.35714285714286,84,-146.11209106445312,0.08301933109760284,-0.9127046465873718,5.91398057937622,302660,0.03
1719,15456,287.30361743529414,8,181.83529411764707,85,-148.75355529785156,0.0932706668972969,0.44912177324295044,6.913264608383178,307100,0.03
1740,15646,288.48786916279073,8,181.93023255813952,86,-147.16854858398438,0.09212781488895416,-1.2095787525177002,8.377840590476989,310900,0.03
1764,15860,290.0277298390805,8,182.29885057471265,87,-146.56137084960938,0.07399474829435349,0.5076776742935181,8.300634455680846,315180,0.03
1785,16047,291.10894946590906,8,182.35227272727272,88,-147.80560302734375,0.09872516244649887,-2.3242099285125732,7.164678621292114,318920,0.03
1807,16237,292.2664774269663,8,182.43820224719101,89,-141.49734497070312,0.0663049966096878,3.564828395843506,5.4552347421646115,322720,0.03
1826,16413,293.11737676666667,8,182.36666666666667,90,-139.42706298828125,0.06885545700788498,0.7530249357223511,5.98064386844635,326240,0.03
1849,16611,294.4066515934066,8,182.53846153846155,91,-138.2189483642578,0.07039638608694077,-0.1430445909500122,5.115668725967407,330200,0.03
1870,16801,295.5203608804348,8,182.6195652173913,92,-136.87191772460938,0.06858314573764801,-0.9802595376968384,4.552801942825317,334000,0.03
1890,16981,296.35534979569894,8,182.59139784946237,93,-134.8766632080078,0.0758640319108963,1.801342487335205,4.173488140106201,337600,0.03
1911,17166,297.13916126595745,8,182.61702127659575,94,-129.99420166015625,0.04980091378092766,1.195886254310608,4.4411252617836,341300,0.03
1930,17348,297.8325003894737,8,182.61052631578949,95,-126.56497955322266,0.058935414999723434,1.0761524438858032,5.036915743350983,344940,0.03
1951,17535,298.51051496875,8,182.65625,96,-128.0850372314453,0.04829473793506622,1.6213241815567017,4.516791152954101,348680,0.03
1971,17720,299.65079016494843,8,182.68041237113403,97,-128.25527954101562,0.06495323777198792,-1.6297247409820557,5.220717430114746,352380,0.03
1992,17921,301.1343049183674,8,182.8673469387755,98,-129.09532165527344,0.06174848601222038,1.3087130784988403,5.018206322193146,356400,0.03
2014,18112,302.1932156969697,8,182.94949494949495,99,-135.11822509765625,0.0785599797964096,1.2125135660171509,6.948333144187927,360220,0.03
2035,18299,303.17763364,8,182.99,100,-139.1625213623047,0.08382722735404968,0.3469066619873047,7.002554035186767,363960,0.03
2056,18495,307.35364857,8,184.83,101,-140.3514862060547,0.08170782774686813,2.7756154537200928,7.216328072547912,367880,0.03
2077,18683,311.7600329300001,8,186.49,102,-146.16970825195312,0.0897575095295906,-0.8511924743652344,7.658540225028991,371640,0.03
2099,18885,316.17312581000004,8,188.28,103,-142.029296875,0.1067836731672287,0.5807470083236694,8.180435156822204,375680,0.03
2121,19085,320.63382134000005,8,190.15,104,-142.74179077148438,0.0781523659825325,1.4170560836791992,7.249239182472229,379680,0.03
2143,19283,325.00761071,8,191.94,105,-138.0515899658203,0.0809732973575592,1.1901922225952148,6.884639930725098,383640,0.03
2166,19491,329.43418772000007,8,193.81,106,-137.69284057617188,0.0949004739522934,1.1682339906692505,6.016863083839416,387800,0.03
2188,19685,333.325475,8,195.5,107,-138.65499877929688,0.07854398339986801,0.15403252840042114,4.819045078754425,391680,0.03
2209,19876,337.3157803699999,8,197.27,108,-138.75375366210938,0.06794029474258423,-1.0787596702575684,5.262954211235046,395500,0.03
2228,20055,340.9636990199999,8,198.96,109,-128.30947875976562,0.06788986921310425,-0.7626030445098877,4.929858946800232,399080,0.03
2253,20277,345.33039699,8,201.08,110,-135.6611785888672,0.05821501463651657,-0.30559682846069336,5.246612989902497,403520,0.03
2276,20488,349.93043679999994,8,203.09,111,-130.943359375,0.05817873403429985,0.32531630992889404,5.226805281639099,407740,0.03
2299,20695,354.13709683,9,205.08,112,-130.99737548828125,0.06140720099210739,-0.8203970789909363,5.357621955871582,411880,0.03
2317,20863,357.53322590000005,9,206.65,113,-142.3182830810547,0.06740585714578629,0.9516223669052124,5.955159854888916,415240,0.03
2339,21063,361.8492449800001,9,208.57,114,-133.60476684570312,0.0742948055267334,1.4246771335601807,7.071301674842834,419240,0.03
2363,21291,367.02515559000005,9,210.66,115,-134.65911865234375,0.09462819993495941,2.2733359336853027,7.24293155670166,423800,0.03
2385,21494,371.22730708999995,9,212.43,116,-142.84506225585938,0.08120407164096832,2.009120225906372,6.063691902160644,427860,0.03
2408,21696,375.73823891,9,214.18,117,-144.27227783203125,0.05757362022995949,4.165579319000244,6.319511198997498,431900,0.03
2431,21906,380.39563125,9,215.3,118,-136.25143432617188,0.06318354606628418,3.4652886390686035,6.003048014640808,436100,0.03
2454,22112,384.48971609999995,9,215.63,119,-143.17630004882812,0.058818187564611435,1.7374095916748047,6.231914091110229,440220,0.03
2480,22348,389.61252348999994,9,216.15,120,-145.327880859375,0.07660715281963348,-1.770919680595398,6.556784057617188,444940,0.03
2503,22563,393.33798587999996,9,216.08,121,-140.58273315429688,0.10333822667598724,-2.8931469917297363,7.0639328241348265,449240,0.03
2527,22771,393.41914191999996,9,214.99,122,-143.86334228515625,0.08475872874259949,-0.4294739365577698,6.98207004070282,453400,0.03
2548,22966,397.41368896,9,215.69,123,-134.50509643554688,0.07460256665945053,-2.023244619369507,6.871821808815002,457300,0.03
2571,23176,399.38642345999995,9,216.25,124,-139.230712890625,0.0646057054400444,0.651625394821167,5.343308615684509,461500,0.03
2594,23384,401.68683976999995,9,217.11,125,-139.96768188476562,0.06980057805776596,-0.7030847072601318,5.678725183010101,465660,0.03
2614,23572,403.34567341,9,217.31,126,-144.90185546875,0.07545028626918793,-0.738674521446228,5.480019474029541,469420,0.03
2635,23761,404.0095688999999,9,216.99,127,-145.60614013671875,0.06408603489398956,0.36771005392074585,6.008519804477691,473200,0.03
2656,23950,404.9969519499999,9,217.28,128,-139.68698120117188,0.08086203783750534,-2.593825340270996,5.57166041135788,476980,0.03
2679,24156,404.79078309,9,217.33,129,-139.45501708984375,0.06269176304340363,1.7499290704727173,5.284970998764038,481100,0.03
2702,24367,407.16430749,9,218.37,130,-139.8559112548828,0.0777108296751976,-1.4421513080596924,4.660639584064484,485320,0.03
2724,24576,408.41723117000004,9,218.73,131,-140.54183959960938,0.0909523293375969,-2.1307692527770996,5.26886215209961,489500,0.03
2746,24777,409.16369284,9,218.48,132,-135.1285400390625,0.07729989290237427,-2.131105661392212,6.2131840825080875,493520,0.03
2769,24986,410.07337283,9,218.51,133,-136.73492431640625,0.0650591105222702,1.6244357824325562,6.033151364326477,497700,0.03
2796,25229,410.64537600000006,9,218.15,134,-139.82249450683594,0.06300728768110275,0.7096947431564331,5.811906254291534,502560,0.03
2817,25428,409.03598107,9,216.74,135,-137.4970703125,0.06890515238046646,0.1393204629421234,6.277442800998688,506540,0.03
2838,25617,409.34762324999997,9,216.13,136,-137.98095703125,0.05584732070565224,0.3719107508659363,4.825812137126922,510320,0.03
2860,25816,409.55115013,9,215.58,137,-142.62484741210938,0.06251010298728943,0.5452123284339905,4.520201969146728,514300,0.03
2884,26032,412.5340552600001,9,215.18,138,-140.65032958984375,0.05362524092197418,1.8447074890136719,5.648444819450378,518620,0.03
2909,26257,413.69177694999996,9,215.46,139,-145.69345092773438,0.06503810733556747,2.0876786708831787,4.52453989982605,523120,0.03
2929,26447,414.40983527000003,9,215.19,140,-143.76882934570312,0.06098756194114685,0.961742639541626,4.886849641799927,526920,0.03
2949,26629,414.71716265000003,9,215.01,141,-139.43734741210938,0.06505680084228516,-0.9124131202697754,4.763684844970703,530560,0.03
2972,26841,415.22509163,9,214.91,142,-138.4289093017578,0.05697525292634964,-0.24368610978126526,4.797151803970337,534800,0.03
2996,27048,415.64397188999993,9,214.48,143,-135.19631958007812,0.060525767505168915,-0.5703949928283691,5.079674077033997,538940,0.03
3019,27262,414.9634821499999,9,213.07,144,-139.09559631347656,0.0823703408241272,-3.1461262702941895,6.177192831039429,543220,0.03
3042,27464,415.06000122999995,9,212.39,145,-134.45477294921875,0.06952903419733047,-1.3773897886276245,4.700672268867493,547260,0.03
3064,27665,416.45806139,9,212.36,146,-134.44151306152344,0.0724109560251236,-1.8487434387207031,4.326150715351105,551280,0.03
3090,27903,415.84400296000007,9,210.96,147,-137.2589569091797,0.05852307751774788,1.5160324573516846,4.288961207866668,556040,0.03
3116,28141,418.5627230900001,9,212.05,148,-138.4873046875,0.06100748851895332,0.9234312176704407,4.7797575950622555,560800,0.03
3142,28379,421.1377431,9,212.7,149,-138.58033752441406,0.06059568002820015,0.7662143707275391,4.1722031235694885,565560,0.03
3163,28572,421.65103082,9,212.47,150,-139.87205505371094,0.06915200501680374,-0.596716582775116,4.663661801815033,569420,0.03
3188,28793,423.39299335000004,9,211.59,151,-139.95640563964844,0.06209009140729904,1.527824878692627,4.383099782466888,573840,0.03
3211,29012,424.6356898899999,9,211.74,152,-142.5567169189453,0.07411929219961166,0.9877216219902039,4.445937967300415,578220,0.03
3237,29248,426.3170063,9,211.83,153,-141.5512237548828,0.07439714670181274,-0.31887003779411316,4.949498963356018,582940,0.03
3262,29472,426.30305989,9,210.99,154,-141.66647338867188,0.07636386901140213,-0.037211477756500244,4.904075253009796,587420,0.03
3290,29729,427.71520650000014,9,210.35,155,-137.64520263671875,0.06701381504535675,-0.4189704358577728,5.137149143218994,592560,0.03
3311,29931,422.15786094000003,9,204.38,156,-138.96463012695312,0.07725175470113754,0.8034036159515381,4.976343369483947,596600,0.03
3338,30173,423.66400123,9,205.06,157,-141.79766845703125,0.05630071461200714,0.47622671723365784,4.895645022392273,601440,0.03
3368,30435,426.17075672999994,9,205.74,158,-139.85340881347656,0.06528576463460922,3.0735130310058594,4.719932126998901,606680,0.03
3395,30675,428.6223359499998,9,206.61,159,-142.31149291992188,0.0621178075671196,0.37067779898643494,4.749568295478821,611480,0.03
3427,30964,431.56148379,9,207.83,160,-134.62686157226562,0.0731460377573967,-1.5263221263885498,4.652554059028626,617260,0.03
3455,31226,433.45056604000007,9,208.32,161,-136.59542846679688,0.08667746186256409,-0.5341280698776245,5.1968447208404545,622500,0.03
3484,31481,435.26573262999983,9,208.56,162,-136.97836303710938,0.06438085436820984,0.603723406791687,5.345348763465881,627600,0.03
3511,31729,436.9403728199999,9,209.03,163,-142.026123046875,0.07270634174346924,1.4633538722991943,5.458048033714294,632560,0.03
3536,31954,438.88301062999994,9,209.72,164,-141.37335205078125,0.06704600155353546,1.7749733924865723,5.7319642305374146,637060,0.03
3563,32202,441.3545776,9,210.34,165,-141.02874755859375,0.07296567410230637,-0.8404521346092224,5.542494320869446,642020,0.03
3584,32393,442.67544254,9,210.81,166,-136.65411376953125,0.0739545151591301,1.8275076150894165,5.786720848083496,645840,0.03
3613,32668,446.3529007700001,9,212.04,167,-142.83399963378906,0.061516713351011276,-1.3012672662734985,5.1744887113571165,651340,0.03
3644,32955,448.29542474999994,9,213.17,168,-141.39219665527344,0.07152798771858215,-0.5246548652648926,6.0588630676269535,657080,0.03
3681,33294,447.23659164,9,210.76,169,-139.91259765625,0.06721600145101547,-0.6013164520263672,6.051756858825684,663860,0.03
3703,33500,448.77030794,9,211.13,170,-143.36373901367188,0.06262892484664917,0.00614088773727417,5.67983877658844,667980,0.03
3730,33752,451.69869398000003,9,211.92,171,-143.77365112304688,0.06551213562488556,1.733623743057251,5.788708448410034,673020,0.03
3758,34007,454.62136214000003,9,212.52,172,-147.62489318847656,0.06703037023544312,1.6163954734802246,5.23718513250351,678120,0.03
3783,34238,456.48107989000005,9,212.94,173,-148.25344848632812,0.08359788358211517,-0.1424010694026947,5.675817692279816,682740,0.03
3811,34502,458.19251382999994,9,213.27,174,-143.77838134765625,0.07407460361719131,-0.13488014042377472,6.363628268241882,688020,0.03
3836,34727,459.2912390899999,9,213.45,175,-139.30020141601562,0.08087640255689621,0.35368791222572327,7.042805457115174,692520,0.03
3863,34978,461.08436335,9,213.96,176,-140.4843292236328,0.07770679891109467,-0.7778573036193848,6.078865385055542,697540,0.03
3890,35224,462.16755223,9,214.12,177,-145.18374633789062,0.08031856268644333,-2.737119674682617,6.021949815750122,702460,0.03
3922,35506,465.3497895500001,9,214.65,178,-147.37643432617188,0.06832249462604523,-0.19967110455036163,5.777284812927246,708100,0.03
3948,35745,466.8530298300001,9,215.12,179,-146.61572265625,0.0792374536395073,-2.166226387023926,6.206791806221008,712880,0.03
3974,35985,468.27474064,9,215.59,180,-148.80523681640625,0.0663594976067543,0.757134199142456,6.262691450119019,717680,0.03
3999,36212,469.67662469000004,9,215.9,181,-153.7870635986328,0.06100429967045784,1.005048155784607,6.000725102424622,722220,0.03
4026,36454,472.05174825,9,216.62,182,-151.11456298828125,0.07734338939189911,0.7735967636108398,6.151238524913788,727060,0.03
4050,36677,473.40129729,9,216.79,183,-143.97207641601562,0.07357457280158997,-1.7873598337173462,5.914689993858337,731520,0.03
